geometry,temperature_K,window_s,center_distance_nm,surface_gap_nm,kBT_J,U_initial_kBT,Udd_eq_kBT,Udd_time_mean_kBT,Udd_end_kBT,delta_Uani_kBT,delta_Fmag_eq_kBT,delta_Fmag_time_mean_kBT,delta_Fmag_end_kBT,delta_Fmag_of_mean_probability_kBT,relaxation_free_energy_excess_time_mean_kBT,relaxation_free_energy_excess_end_kBT,internal_energy_relaxation_deficit_kBT,vdW_kBT,partial_contact_F_eq_kBT,partial_contact_F_time_mean_kBT,tau_N_isolated_s,tau_B_free_s,hexane_viscosity_Pa_s,detailed_balance_relative_error,KL_quadrature_error_kBT,free_energy_identity_error_kBT,ligand_solvent_F_J,assembly_translation_rotation_F_J,assembly_delta_G_J,U_initial_J,Udd_eq_J,Udd_time_mean_J,Udd_end_J,delta_Uani_J,delta_Fmag_eq_J,delta_Fmag_time_mean_J,delta_Fmag_end_J,delta_Fmag_of_mean_probability_J,relaxation_free_energy_excess_time_mean_J,relaxation_free_energy_excess_end_J,internal_energy_relaxation_deficit_J,vdW_J,partial_contact_F_eq_J,partial_contact_F_time_mean_J,KL_quadrature_error_J,free_energy_identity_error_J
tip,260.0,20.0,28.516660498395403,3.0,3.5896874e-21,0.0,-1.701924569432015,-0.5761979162688087,-0.9875519383073907,0.0,-0.867196259985227,-0.4566633252829786,-0.705983493833822,-0.47807601844127134,0.4105329347022484,0.16121276615140487,1.1257266531632064,-0.06834032923077708,-0.935536589216004,-0.5250036545137556,37.72121025624578,1.3603928387752672e-06,0.0004532525831332399,1.9735753166907382e-16,4.5578311647337215e-15,4.440892098500626e-16,nan,nan,nan,0.0,-6.10937718264053e-21,-2.068370399936398e-21,-3.545002749787618e-21,0.0,-3.1129634877960937e-21,-1.6392785848104098e-21,-2.5342600524232485e-21,-1.7161434596407994e-21,1.4736849029856839e-21,5.7870343537284455e-22,4.0410067827041324e-21,-2.453204187515722e-22,-3.3582839065476658e-21,-1.8845990035619817e-21,1.6361189103371966e-35,1.5941414410747258e-36
tip,261.0,20.0,28.516660498395403,3.0,3.60349389e-21,0.0,-1.6892790442385943,-0.6100765176744287,-1.0323966227544026,0.0,-0.8606872532035039,-0.47596438918898637,-0.7224471737793327,-0.4994914547609851,0.38472286401451755,0.13824007942417105,1.0792025265641656,-0.06807848888889671,-0.9287657420924006,-0.5440428780778831,34.35806406770013,1.3389324116403761e-06,0.00044781822561123857,2.620739058607061e-16,4.2712818172865046e-15,5.551115123125783e-16,nan,nan,nan,0.0,-6.0873067144188145e-21,-2.1984070038722807e-21,-3.7202349221521245e-21,0.0,-3.1014812581197093e-21,-1.7151347683000944e-21,-2.6033339765615934e-21,-1.7999144053384214e-21,1.386346489819615e-21,4.981472815581151e-22,3.888899710546533e-21,-2.4532041875157216e-22,-3.3468016768712814e-21,-1.9604551870516665e-21,1.5391537931060015e-35,2.0003409428870354e-36
tip,262.0,20.0,28.516660498395403,3.0,3.61730038e-21,0.0,-1.6767725410922876,-0.6443642200897015,-1.075891129656949,0.0,-0.8542512290117257,-0.4946429232795969,-0.736778404893838,-0.5203336266445617,0.35960830573212876,0.1174728241178872,1.032408321002586,-0.06781864732825207,-0.9220698763399777,-0.562461570607849,31.317086148064412,1.3179059873278584e-06,0.00044247457942050565,3.591366959966276e-16,3.99245420870252e-15,5.273559366969494e-16,nan,nan,nan,0.0,-6.065389950066698e-21,-2.330858938188881e-21,-3.891821392146712e-21,0.0,-3.0900832953195825e-21,-1.789272034343597e-21,-2.665148803998274e-21,-1.8822030253881513e-21,1.3008112609759856e-21,4.249344913213066e-22,3.7345310118778166e-21,-2.453204187515722e-22,-3.3354037140711546e-21,-2.034592453095169e-21,1.4441906126272225e-35,1.907604830209131e-36
tip,263.0,20.0,28.516660498395403,3.0,3.63110687e-21,0.0,-1.664403099973748,-0.6788840946204446,-1.1176789929830189,0.0,-0.8478871054814929,-0.5125790712068456,-0.7489481796966732,-0.5404539786843492,0.33530803427464734,0.09893892578481935,0.9855190053533034,-0.0675607817490572,-0.9154478872305502,-0.5801398529559029,28.5653843679249,1.2973032341276683e-06,0.0004372198310090094,2.462432349006557e-16,3.722666999935146e-15,4.3021142204224816e-16,nan,nan,nan,0.0,-6.0436255307639736e-21,-2.4651006999100266e-21,-4.058411869875321e-21,0.0,-3.0787686936982636e-21,-1.8612293868773965e-21,-2.7195108805705843e-21,-1.9624461549195737e-21,1.2175393068208673e-21,3.5925781312767766e-22,3.578524830853947e-21,-2.453204187515722e-22,-3.3240891124498357e-21,-2.1065498056289686e-21,1.3517401718186799e-35,1.5621436501300766e-36
tip,264.0,20.0,28.516660498395403,3.0,3.64491336e-21,0.0,-1.6521687926641295,-0.7134496899413101,-1.1574264778960748,0.0,-0.8415938203804076,-0.5296665009262611,-0.7589820431917607,-0.5597135057661821,0.3119273194541466,0.08261177718864685,0.9387191027228194,-0.06730486969697744,-0.9088986900773851,-0.5969713706232386,26.073623063332533,1.2771140959791415e-06,0.0004320522071194836,1.752097325999114e-16,3.4630889206760004e-15,3.3306690738754696e-16,nan,nan,nan,0.0,-6.022012105356556e-21,-2.600462306554939e-21,-4.2187192325011484e-21,0.0,-3.0675365595979882e-21,-1.9305885055705815e-21,-2.7664237892297458e-21,-2.0401072349395944e-21,1.1369480540274068e-21,3.0111277036824216e-22,3.421549798801617e-21,-2.4532041875157226e-22,-3.3128569783495607e-21,-2.175908924322154e-21,1.2622659073839935e-35,1.2140000205107527e-36
tip,265.0,20.0,28.516660498395403,3.0,3.65871985e-21,0.0,-1.640067722219246,-0.7478685673878489,-1.194833495504088,0.0,-0.835370330754972,-0.5458153422447372,-0.7669575476228758,-0.5779864941703117,0.28955498851023487,0.06841278313209556,0.892199154831397,-0.06705088905661148,-0.9024212198115835,-0.6128662313013487,23.815617873008417,1.2573287845453793e-06,0.00042696997386416517,5.728360872093474e-16,3.214706151391354e-15,6.38378239159465e-16,nan,nan,nan,0.0,-6.000548330627841e-21,-2.7362415726929853e-21,-4.371561027445693e-21,0.0,-3.0563860112342816e-21,-1.9969854271053635e-21,-2.806082803595136e-21,-2.1146906592528287e-21,1.0594005841289183e-21,2.503032076391432e-22,3.2643067579348555e-21,-2.453204187515722e-22,-3.3017064299858537e-21,-2.2423058458569356e-21,1.1761709208012651e-35,2.335647135420782e-36
tip,266.0,20.0,28.516660498395403,3.0,3.67252634e-21,0.0,-1.628098022450495,-0.7819462754906846,-1.2296436871508658,0.0,-0.829215612523317,-0.5609543872829084,-0.7729982142993773,-0.5951638588562422,0.2682612252404087,0.05621739822393948,0.8461517469598104,-0.06679881804512046,-0.8960144305684374,-0.6277532053280288,21.767979000835354,1.2379377715229462e-06,0.0004219714358188053,8.39593410371317e-17,2.9782978887605685e-15,3.885780586188048e-16,nan,nan,nan,0.0,-5.979232871551355e-21,-2.871718293204436e-21,-4.5158988298762744e-21,0.0,-3.0453161785311157e-21,-2.0601197628350423e-21,-2.8388563027874282e-21,-2.185754948265592e-21,9.851964156960738e-22,2.0645987574368698e-22,3.107514578346919e-21,-2.453204187515722e-22,-3.290636597282688e-21,-2.3054401815866144e-21,1.0937877444839579e-35,1.4270631554236248e-36
tip,267.0,20.0,28.516660498395403,3.0,3.68633283e-21,0.0,-1.6162578574126143,-0.8154906052248088,-1.2616529343771004,0.0,-0.823128660077507,-0.5750323722317165,-0.7772643779716433,-0.6111558701159969,0.2480962878457904,0.045864282105863234,0.8007672521878055,-0.06654863520600016,-0.8896772952835071,-0.6415810074377167,19.90979685328245,1.218931781180093e-06,0.0004170549351357412,3.463262876192895e-16,2.7544221109042688e-15,5.273559366969494e-16,nan,nan,nan,0.0,-5.958064401525579e-21,-3.006169790596782e-21,-4.6508726320601405e-21,0.0,-3.034326202957624e-21,-2.119760712070557e-21,-2.8652551941063972e-21,-2.2529239482558154e-21,9.145654908870671e-22,1.6907100885122518e-22,2.9518946109287967e-21,-2.453204187515722e-22,-3.2796466217091966e-21,-2.3650811308221294e-21,1.0153716655104307e-35,1.944009502541366e-36
tip,268.0,20.0,28.516660498395403,3.0,3.7001393200000004e-21,0.0,-1.6045454208982883,-0.8483159290644428,-1.2907155883816175,0.0,-0.8171084858951749,-0.5880182341536648,-0.7799417296324945,-0.6258940950153733,0.22909025174151015,0.03716675626268007,0.7562294918338456,-0.06630031940299269,-0.8834088052981677,-0.6543185535566576,18.222364789196565,1.2003017831169826e-06,0.0004122188506758385,3.3531465608388726e-16,2.5434127220059798e-15,4.163336342344337e-16,nan,nan,nan,0.0,-5.937041602591707e-21,-3.1388871249136757e-21,-4.7758274995077584e-21,0.0,-3.0234152373664026e-21,-2.1757493890689424e-21,-2.8858930611220024e-21,-2.315895351122199e-21,8.476658482974603e-22,1.3752217624439878e-22,2.798154477678031e-21,-2.453204187515722e-22,-3.2687356561179747e-21,-2.421069807820515e-21,9.410981419682557e-36,1.5404924502693264e-36
tip,269.0,20.0,28.516660498395403,3.0,3.71394581e-21,0.0,-1.5929589359396452,-0.880247400938175,-1.3167478357950437,0.0,-0.8111541201602686,-0.5999003351687062,-0.7812287482657043,-0.6393324315014919,0.21125378499156233,0.02992537189456407,0.7127115350014702,-0.066053849814134,-0.8772079699744025,-0.6659541849828402,16.68893440058533,1.1820389852414607e-06,0.00040746159715907004,5.183389097725386e-16,2.3453881613684484e-15,1.6653345369377348e-16,nan,nan,nan,0.0,-5.9161631656351036e-21,-3.2691911464777252e-21,-4.8903301075775704e-21,0.0,-3.012582445833466e-21,-2.227997336217412e-21,-2.9014412362729572e-21,-2.374446005172078e-21,7.845851096160538e-22,1.11141209560508e-22,2.6469720191573788e-21,-2.453204187515722e-22,-3.2579028645850382e-21,-2.473317754968984e-21,8.710644534737953e-36,6.1849622257081905e-37
tip,270.0,20.0,28.516660498395403,3.0,3.7277523000000004e-21,0.0,-1.581496654316655,-0.9111247855367979,-1.3397278260444816,0.0,-0.8052646103926575,-0.6106847552939645,-0.7813244271470225,-0.6514471814087441,0.19457985509869297,0.023940183245634936,0.6703718687798572,-0.06580920592593349,-0.871073816318591,-0.676493961219898,15.294499332542568,1.1641348269541118e-06,0.00040278162433349864,3.124092183916618e-16,2.160270352587956e-15,3.3306690738754696e-16,nan,nan,nan,0.0,-5.8954277905712166e-21,-3.396447514871805e-21,-4.9941734849113165e-21,0.0,-3.0018270034998333e-21,-2.2764815011220137e-21,-2.9125839303434962e-21,-2.4284337288249634e-21,7.253455023778195e-22,8.92430731563371e-23,2.4989802756994113e-21,-2.453204187515722e-22,-3.2471474222514057e-21,-2.521801919873586e-21,8.052952775481565e-36,1.2415909300678152e-36
tip,271.0,20.0,28.516660498395403,3.0,3.74155879e-21,0.0,-1.5701568560724382,-0.9408056979278718,-1.3596924656282017,0.0,-0.7994390210864042,-0.6203928565285723,-0.7804176793706522,-0.6622361854874608,0.1790461645578318,0.019021341715751476,0.6293511581445663,-0.06556636752768281,-0.865005388614087,-0.6859592240562552,14.025604161142718,1.1465809725364768e-06,0.0003981774161624128,3.28117400727389e-16,1.987811743629295e-15,5.065392549852277e-16,nan,nan,nan,0.0,-5.8748341865165956e-21,-3.520079828764114e-21,-5.0873692964679706e-21,0.0,-2.991148096414831e-21,-2.3212363455976886e-21,-2.9199786281206656e-21,-2.4777956208666794e-21,6.69911750817142e-22,7.116946829416362e-23,2.3547543577524824e-21,-2.453204187515722e-22,-3.2364685151664034e-21,-2.566556764349261e-21,7.437514502241415e-36,1.8952464019700298e-36
tip,272.0,20.0,28.516660498395403,3.0,3.7553652800000004e-21,0.0,-1.558937849035479,-0.9691680695363478,-1.3767311073462316,0.0,-0.7936764333564623,-0.6290583949188214,-0.7786795202093272,-0.6717171195517837,0.1646180384376409,0.014996913147134625,0.5897697794991312,-0.06532531470588986,-0.8590017480623522,-0.6943837096247113,12.8701752908696,1.129369304736483e-06,0.00039364749002936865,6.034516613233917e-16,1.8276273654209797e-15,5.134781488891349e-16,nan,nan,nan,0.0,-5.85438107194572e-21,-3.639580118821427e-21,-5.1701282004239915e-21,0.0,-2.9805449213810927e-21,-2.3623440553706707e-21,-2.924226034441166e-21,-2.522543148746378e-21,6.182008660104221e-22,5.63188869399249e-23,2.2148009531242935e-21,-2.453204187515722e-22,-3.2258653401326652e-21,-2.607664474122243e-21,6.86340835287982e-36,1.928298012376928e-36
tip,273.0,20.0,28.516660498395403,3.0,3.76917177e-21,0.0,-1.5478379683487833,-0.9961117126471661,-1.3909766863728574,0.0,-0.7879759445935939,-0.6367244880919839,-0.7762586095330348,-0.6799251158726152,0.15125145650161,0.01171733506055887,0.5517262557016172,-0.06508602783883533,-0.8530619724324292,-0.7018105159308192,11.817371217347482,1.1124919185452515e-06,0.0003891903959608592,3.0076314429829827e-16,1.6792284951617774e-15,4.996003610813204e-16,nan,nan,nan,0.0,-5.834067174834387e-21,-3.7545161470760505e-21,-5.242830059004718e-21,0.0,-2.970016685801258e-21,-2.399923965784007e-21,-2.9258520372713677e-21,-2.5627545524610402e-21,5.700927200172514e-22,4.4164648529889734e-23,2.079551027758337e-21,-2.453204187515722e-22,-3.2153371045528306e-21,-2.645244384535579e-21,6.329300639343353e-36,1.8830795772695197e-36
tip,274.0,20.0,28.516660498395403,3.0,3.7829782600000005e-21,0.0,-1.5368555760058853,-1.0215589277024495,-1.4025951315240686,0.0,-0.782336668127317,-0.6434407256049437,-0.7732801095849484,-0.6869099193027219,0.13889594252237325,0.009056558542368226,0.5152966483034358,-0.06484848759124832,-0.8471851557185652,-0.708289213196192,10.857449834809778,1.0959411151596322e-06,0.0003848047158663515,4.2601525114064823e-16,1.5420547341535112e-15,3.0531133177191805e-16,nan,nan,nan,0.0,-5.8138912327900425e-21,-3.8645352148072784e-21,-5.3059868901373926e-21,0.0,-2.9595626075264754e-21,-2.4341222765621275e-21,-2.9253018434502778e-21,-2.5985652913005518e-21,5.254403309643476e-22,3.426076407619629e-23,1.9493560179827638e-21,-2.453204187515722e-22,-3.204883026278047e-21,-2.6794426953136997e-21,5.833559535032813e-36,1.1549861306248134e-36
tip,275.0,20.0,28.516660498395403,3.0,3.79678475e-21,0.0,-1.5259890603937865,-1.045454177805507,-1.411774062397949,0.0,-0.7767577328966571,-0.6492606434620445,-0.7698472376146009,-0.6927328076252929,0.12749708943461252,0.006910495282055968,0.48053488258827937,-0.06461267490909833,-0.8413704078057553,-0.7138733183711428,9.98165075779514,1.079709396124941e-06,0.00038048906279540274,1.766088805352865e-16,1.4155020426299958e-15,3.0531133177191805e-16,nan,nan,nan,0.0,-5.793851993169958e-21,-3.969364479115738e-21,-5.3602022305580806e-21,0.0,-2.949181914706601e-21,-2.4651029098718776e-21,-2.9229442516047434e-21,-2.6301573598163957e-21,4.840790048347229e-22,2.623766310185705e-23,1.8244875140542197e-21,-2.453204187515722e-22,-3.1945023334581728e-21,-2.7104233286234497e-21,5.374356569051418e-36,1.1592014084738089e-36
tip,276.0,20.0,28.516660498395403,3.0,3.8105912400000005e-21,0.0,-1.51523683584271,-1.067762932998213,-1.4187118360655289,0.0,-0.7712382831285316,-0.6542396898249427,-0.7660445278276325,-0.6974634987717403,0.11699859330358889,0.005193755300898585,0.44747390284449695,-0.06437857101450015,-0.8356168541430318,-0.7186182608394429,9.182090878892192,1.063789457652542e-06,0.0003762420802115844,4.703015459012764e-16,1.2989453213439902e-15,4.649058915617843e-16,nan,nan,nan,0.0,-5.773948213187549e-21,-4.068808078879698e-21,-5.406130894595621e-21,0.0,-2.9388738456422228e-21,-2.4930400309072443e-21,-2.9190825671899133e-21,-2.6577482986393445e-21,4.458338147349785e-22,1.9791278452307715e-23,1.7051401343078513e-21,-2.453204187515722e-22,-3.184194264393795e-21,-2.7383604496588167e-21,4.9497496627523944e-36,1.7715663178097254e-36
tip,277.0,20.0,28.516660498395403,3.0,3.82439773e-21,0.0,-1.5045973421827306,-1.0884698526071062,-1.4236079157918105,0.0,-0.7657774780235567,-0.6584337107417229,-0.7619417425111082,-0.701177236811755,0.10734376728183384,0.003835735512447744,0.4161274895756244,-0.0641461574007294,-0.829923635424286,-0.7225798681424522,8.451671604075317,1.0481741851070237e-06,0.0003720624412829121,2.7528046282614776e-16,1.1917552198629647e-15,6.800116025829084e-16,nan,nan,nan,0.0,-5.7541786600076685e-21,-4.162741633484052e-21,-5.444442881564231e-21,0.0,-2.928637648638415e-21,-2.5181123887161217e-21,-2.9139682704517268e-21,-2.6815806327905483e-21,4.105252599222936e-22,1.4669378186685537e-23,1.5914370265236167e-21,-2.4532041875157226e-22,-3.173958067389987e-21,-2.763432807467694e-21,4.557745957559573e-36,2.600634829291737e-36
tip,278.0,20.0,28.516660498395403,3.0,3.8382042200000005e-21,0.0,-1.4940690443071654,-1.10757651824447,-1.4266553094011738,0.0,-0.7603744914491086,-0.6618979051261646,-0.7575975554860575,-0.7039522006388719,0.09847658632294395,0.002776935963050944,0.38649252606269546,-0.06391541582734547,-0.8242899072764541,-0.7258133209535101,7.7839963986397995,1.0328566476579128e-06,0.0003679488481885076,2.463499151418178e-16,1.0933097352221916e-15,3.469446951953614e-16,nan,nan,nan,0.0,-5.73454211083113e-21,-4.251104866298832e-21,-5.4757944290289914e-21,0.0,-2.918472581860323e-21,-2.540499332664405e-21,-2.9078141345282703e-21,-2.701912307170405e-21,3.7797324919591784e-22,1.0658447332051899e-23,1.483437244532298e-21,-2.453204187515722e-22,-3.1637930006118955e-21,-2.7858197514159773e-21,4.196346039496899e-36,1.33164459320545e-36
