geometry,temperature_K,state_index,spin1_index,spin2_index,p_initial,p_equilibrium,p_end,p_time_mean
face,202.0,36,4,4,0.015625,9.210078636390509e-06,0.015640576703147634,0.015633035941561874
face,202.0,37,4,5,0.015625,0.0010637174719168232,0.01601841027629463,0.015824074783004086
face,202.0,38,4,6,0.015625,0.0010637174719168232,0.01601841027629392,0.015824074783003378
face,202.0,39,4,7,0.015625,0.12285398471956584,0.01777303092988864,0.01671191417454737
face,202.0,40,5,0,0.015625,7.974443470937906e-08,0.015033377853556148,0.01532726508843555
face,202.0,41,5,1,0.015625,6.90458259714774e-10,0.015404538373342136,0.015514508482111777
face,202.0,42,5,2,0.015625,9.210078636390509e-06,0.014078277733899537,0.014837861658878893
face,202.0,43,5,3,0.015625,7.974443470937906e-08,0.015033377853556098,0.0153272650884355
face,202.0,44,5,4,0.015625,0.0010637174719168232,0.016018410276295875,0.01582407478300535
face,202.0,45,5,5,0.015625,9.210078636390509e-06,0.015640576703145607,0.015633035941559823
face,202.0,46,5,6,0.015625,0.12285398471956584,0.017773030929897043,0.016711914174555757
face,202.0,47,5,7,0.015625,0.0010637174719168232,0.016018410276299654,0.015824074783009213
face,202.0,48,6,0,0.015625,7.974443470937906e-08,0.015033377853556133,0.01532726508843554
face,202.0,49,6,1,0.015625,9.210078636390509e-06,0.014078277733899417,0.014837861658878744
face,202.0,50,6,2,0.015625,6.90458259714774e-10,0.015404538373342136,0.015514508482111777
face,202.0,51,6,3,0.015625,7.974443470937906e-08,0.01503337785355611,0.015327265088435515
face,202.0,52,6,4,0.015625,0.0010637174719168232,0.016018410276295195,0.015824074783004665
face,202.0,53,6,5,0.015625,0.12285398471956584,0.0177730309298964,0.01671191417455531
face,202.0,54,6,6,0.015625,9.210078636390509e-06,0.015640576703145854,0.015633035941560083
face,202.0,55,6,7,0.015625,0.0010637174719168232,0.01601841027629738,0.01582407478300691
face,202.0,56,7,0,0.015625,9.210078636390509e-06,0.014078277733899452,0.014837861658878812
face,202.0,57,7,1,0.015625,7.974443470937906e-08,0.015033377853556108,0.015327265088435507
