geometry,temperature_K,window_s,center_distance_nm,face_tilt_halfangle_deg,orientation_fraction,Udd_J,F_orient_J,orientation_entropy_cost_J,F_orient_eq_J,p_parallel_initial,p_parallel_mean,p_parallel_end,p_parallel_eq,face_sign_relaxation_s,fast_azimuth_Udd_J,slow_axial_Udd_J,UvdW_J,rotation_constraint_F_J,stage1_Udd_J,stage2_F_orient_J,stage3_F_with_rotation_J,free_Brownian_time_s,assembly_free_energy_J,Udd_kBT,F_orient_kBT,orientation_entropy_cost_kBT,F_orient_eq_kBT,fast_azimuth_Udd_kBT,slow_axial_Udd_kBT,UvdW_kBT,rotation_constraint_F_kBT,stage1_Udd_kBT,stage2_F_orient_kBT,stage3_F_with_rotation_kBT,assembly_free_energy_kBT
face,232.0,20,19.0,2,0.0018275189427127136,-2.0097662061236646e-20,-1.583129644020886e-20,4.266365621027786e-21,-1.9167994215435212e-20,0.5,0.8244172758464483,0.9643912376772944,0.9997440327719239,7.550821062102392,-1.150373778183325e-20,-8.593924279403396e-21,-4.8834370285786125e-21,4.038985576424628e-20,-2.0097662061236646e-20,-1.583129644020886e-20,2.4558559324037418e-20,2.1900061983068597e-06,nan,-6.274429903054789,-4.942483333927608,1.3319465691271808,-5.98419038594918,-3.591432481813478,-2.682997421241311,-1.524594414436745,12.609592002049173,-6.274429903054789,-4.942483333927608,7.667108668121564,nan
tip,232.0,20,28.516660498395403,2,1.0,-5.6981484089357386e-21,-3.1709049466579967e-21,2.527243462277742e-21,-3.1709049466579967e-21,nan,nan,nan,nan,nan,nan,nan,-2.453204187515722e-22,-0.0,-5.6981484089357386e-21,-3.1709049466579967e-21,-3.1709049466579967e-21,2.1900061983068597e-06,nan,-1.7789448673250574,-0.9899470274917674,0.7889978398332901,-0.9899470274917674,nan,nan,-0.0765883000000088,-0.0,-1.7789448673250574,-0.9899470274917674,-0.9899470274917674,nan
face,233.0,20,19.0,2,0.0018275189427127136,-2.0437039533668298e-20,-1.608125256981565e-20,4.355786963852649e-21,-1.914398641303777e-20,0.5,0.8375463762144832,0.9726206513150467,0.9997347866450518,6.863365364136593,-1.1495320907847345e-20,-8.941718625820953e-21,-4.8834370285786125e-21,4.056394997012665e-20,-2.0437039533668298e-20,-1.608125256981565e-20,2.4482697400311002e-20,2.1507749074395635e-06,nan,-6.3529989174893435,-4.998971597603688,1.3540273198856556,-5.95104416948933,-3.5734021634315694,-2.7795967540577746,-1.5180510907696345,12.609592002049173,-6.3529989174893435,-4.998971597603688,7.610620404445484,nan
tip,233.0,20,28.516660498395403,2,1.0,-5.682222072902809e-21,-3.1600459569244378e-21,2.5221761159783713e-21,-3.1600459569244378e-21,nan,nan,nan,nan,nan,nan,nan,-2.453204187515722e-22,-0.0,-5.682222072902809e-21,-3.1600459569244378e-21,-3.1600459569244378e-21,2.1507749074395635e-06,nan,-1.7663590961212996,-0.9823227337053586,0.784036362415941,-0.9823227337053586,nan,nan,-0.07625959484979417,-0.0,-1.7663590961212996,-0.9823227337053586,-0.9823227337053586,nan
face,234.0,20,19.0,2,0.0018275189427127136,-2.076008838115162e-20,-1.6314310513143695e-20,4.445777868007926e-21,-1.9120015822451158e-20,0.5,0.8500594715375902,0.979422178532086,0.9997252899474309,6.243591769913255,-1.1486893592641242e-20,-9.273194788510379e-21,-4.8834370285786125e-21,4.0738044176007026e-20,-2.076008838115162e-20,-1.6314310513143695e-20,2.442373366286333e-20,2.112419910345835e-06,nan,-6.425842224575389,-5.049746582744439,1.3760956418309498,-5.918192772146602,-3.555522718478136,-2.870319506097253,-1.5115636929458327,12.609592002049173,-6.425842224575389,-5.049746582744439,7.559845419304734,nan
tip,234.0,20,28.516660498395403,2,1.0,-5.666368642616576e-21,-3.1492551643987875e-21,2.517113478217789e-21,-3.1492551643987875e-21,nan,nan,nan,nan,nan,nan,nan,-2.453204187515722e-22,-0.0,-5.666368642616576e-21,-3.1492551643987875e-21,-3.1492551643987875e-21,2.112419910345835e-06,nan,-1.7539034620292737,-0.974784713813114,0.7791187482161597,-0.974784713813114,nan,nan,-0.07593369914530787,-0.0,-1.7539034620292737,-0.974784713813114,-0.974784713813114,nan
face,235.0,20,19.0,2,0.0018275189427127136,-2.106525466134294e-20,-1.6529823458307917e-20,4.535431203035022e-21,-1.9096082357866104e-20,0.5,0.8618979009463064,0.9849009146789112,0.9997155384753834,5.684362860826371,-1.1478455840309571e-20,-9.586798821033368e-21,-4.8834370285786125e-21,4.0912138381887394e-20,-2.106525466134294e-20,-1.6529823458307917e-20,2.4382314923579477e-20,2.07491874548459e-06,nan,-6.492553975531038,-5.094681869951883,1.3978721055791543,-5.885632403825288,-3.537792222171423,-2.9547617533596147,-1.5051315070184035,12.609592002049173,-6.492553975531038,-5.094681869951883,7.514910132097288,nan
tip,235.0,20,28.516660498395403,2,1.0,-5.650587703838866e-21,-3.1385319669582613e-21,2.512055736880605e-21,-3.1385319669582613e-21,nan,nan,nan,nan,nan,nan,nan,-2.453204187515722e-22,-0.0,-5.650587703838866e-21,-3.1385319669582613e-21,-3.1385319669582613e-21,2.07491874548459e-06,nan,-1.7415761760511752,-0.9673316808649983,0.7742444951861769,-0.9673316808649983,nan,nan,-0.07561057702128528,-0.0,-1.7415761760511752,-0.9673316808649983,-0.9673316808649983,nan
face,236.0,20,19.0,2,0.0018275189427127136,-2.135144868277367e-20,-1.6727575692443222e-20,4.623872990330449e-21,-1.9072185934657913e-20,0.5,0.8730205288103163,0.9891934566321562,0.9997055280141781,5.179341525785013,-1.1470007656260077e-20,-9.881441026513594e-21,-4.8834370285786125e-21,4.108623258776777e-20,-2.135144868277367e-20,-1.6727575692443222e-20,2.4358656895324546e-20,2.038249575673318e-06,nan,-6.552877681528351,-5.133785489203063,1.419092192325287,-5.85335933903214,-3.5202087827560966,-3.032668898772254,-1.498753831141207,12.609592002049173,-6.552877681528351,-5.133785489203063,7.475806512846109,nan
tip,236.0,20,28.516660498395403,2,1.0,-5.634878845419651e-21,-3.127875769360724e-21,2.5070030760589266e-21,-3.127875769360724e-21,nan,nan,nan,nan,nan,nan,nan,-2.453204187515722e-22,-0.0,-5.634878845419651e-21,-3.127875769360724e-21,-3.127875769360724e-21,2.038249575673318e-06,nan,-1.7293754804589658,-0.9599623718353985,0.7694131086235674,-0.9599623718353985,nan,nan,-0.07529019322034763,-0.0,-1.7293754804589658,-0.9599623718353985,-0.9599623718353985,nan
