scheme,n_per_axis,volume_nodes,configuration,gap_nm,U_attr_kcalmol,rel_error_vs_reference,rel_change_vs_previous,abs_error_kBT,wall_seconds,peak_pair_memory_MB
radial,3,54,face_edge_110,2.99,-2.44497054e+00,4.931e-01,nan,3.9902e+00,0.001,152.6
radial,3,54,face_edge_110,8.00,-3.74643332e-01,2.255e-01,nan,1.8301e-01,0.001,152.6
radial,3,54,corner_111,1.00,-2.80335636e+00,6.718e-01,nan,9.6235e+00,0.001,152.6
radial,3,54,corner_111,2.99,-1.16758406e+00,3.117e-01,nan,8.8679e-01,0.001,152.6
radial,3,54,corner_111,8.00,-2.21121397e-01,8.165e-02,nan,3.2977e-02,0.001,152.6
radial,3,54,face_to_face_twist45,1.00,-1.11327885e+02,4.700e-01,nan,1.6562e+02,0.001,152.6
radial,3,54,face_to_face_twist45,2.99,-1.92230798e+01,5.207e-02,nan,1.7714e+00,0.001,152.6
radial,3,54,face_to_face_twist45,8.00,-1.33479375e+00,2.416e-02,nan,5.5444e-02,0.001,152.6
radial,4,128,face_to_face_100,1.00,-1.24844011e+03,4.777e+00,9.552e-01,1.7316e+03,0.002,152.6
radial,4,128,face_to_face_100,2.99,-3.22353540e+01,5.755e-01,1.015e-01,1.9752e+01,0.002,152.6
radial,4,128,face_to_face_100,8.00,-1.39219729e+00,1.705e-02,2.956e-02,3.9145e-02,0.002,152.6
radial,4,128,face_edge_110,1.00,-8.78325566e+00,7.539e-01,2.397e-01,4.5135e+01,0.002,152.6
radial,4,128,face_edge_110,2.99,-2.77053635e+00,4.257e-01,1.332e-01,3.4441e+00,0.002,152.6
radial,4,128,face_edge_110,8.00,-4.05102581e-01,1.626e-01,8.130e-02,1.3192e-01,0.002,152.6
radial,4,128,corner_111,1.00,-2.28606369e+00,7.323e-01,1.845e-01,1.0491e+01,0.002,152.6
radial,4,128,corner_111,2.99,-9.90805312e-01,4.159e-01,1.514e-01,1.1833e+00,0.002,152.6
radial,4,128,corner_111,8.00,-2.02154274e-01,1.604e-01,8.578e-02,6.4792e-02,0.002,152.6
radial,4,128,face_to_face_twist45,1.00,-1.54698825e+02,2.636e-01,3.896e-01,9.2873e+01,0.002,152.6
radial,4,128,face_to_face_twist45,2.99,-2.41266932e+01,1.897e-01,2.551e-01,6.4539e+00,0.002,152.6
radial,4,128,face_to_face_twist45,8.00,-1.38911690e+00,1.555e-02,4.070e-02,3.5677e-02,0.002,152.6
radial,6,432,face_to_face_100,1.00,-3.51245328e+02,6.253e-01,7.187e-01,2.2667e+02,0.009,152.6
