level,volume_nodes,surface_nodes,configuration,gap_nm,U_attr_kcalmol,U_rep_kcalmol,U_pair_kcalmol,rel_change_attr,rel_change_rep,rel_change_pair,abs_change_pair_kBT,wall_seconds
cartesian20+facegl32,8000,6144,face_edge_110,2.99,-4.82620236e+00,3.33260940e+00,-1.49359295e+00,7.387e-04,1.896e-12,2.383e-03,5.985e-03,2.010
cartesian20+facegl32,8000,6144,face_edge_110,8.00,-4.83848690e-01,2.12190269e-01,-2.71658421e-01,3.169e-04,2.207e-12,5.643e-04,2.573e-04,1.951
cartesian20+facegl32,8000,6144,corner_111,1.00,-8.53915599e+00,5.55097196e+00,-2.98818403e+00,6.390e-05,1.443e-12,1.826e-04,9.152e-04,1.967
cartesian20+facegl32,8000,6144,corner_111,2.99,-1.69628419e+00,1.45281742e+00,-2.43466770e-01,4.933e-05,1.806e-12,3.436e-04,1.404e-04,1.913
cartesian20+facegl32,8000,6144,corner_111,8.00,-2.40790598e-01,1.16220938e-01,-1.24569660e-01,7.308e-05,9.130e-13,1.413e-04,2.952e-05,1.849
cartesian20+facegl32,8000,6144,face_to_face_twist45,1.00,-2.11093862e+02,4.57003646e+01,-1.65393497e+02,8.147e-03,6.295e-13,1.038e-02,2.909e+00,1.979
cartesian20+facegl32,8000,6144,face_to_face_twist45,2.99,-2.03049386e+01,8.96438769e+00,-1.13405509e+01,2.030e-03,2.078e-13,3.629e-03,6.929e-02,1.958
cartesian20+facegl32,8000,6144,face_to_face_twist45,8.00,-1.36839391e+00,4.52296213e-01,-9.16097700e-01,6.268e-04,1.823e-13,9.359e-04,1.440e-03,1.937
cartesian24+facegl40,13824,9600,face_to_face_100,1.00,-2.16358234e+02,4.73232056e+01,-1.69035029e+02,3.830e-03,1.321e-14,4.897e-03,1.395e+00,5.774
cartesian24+facegl40,13824,9600,face_to_face_100,2.99,-2.04660975e+01,9.19131756e+00,-1.12747799e+01,9.652e-04,2.331e-15,1.751e-03,3.317e-02,5.705
cartesian24+facegl40,13824,9600,face_to_face_100,8.00,-1.36899026e+00,4.58169982e-01,-9.10820276e-01,3.042e-04,4.552e-15,4.571e-04,6.987e-04,5.834
cartesian24+facegl40,13824,9600,face_edge_110,1.00,-3.57055062e+01,1.46661439e+01,-2.10393623e+01,1.231e-03,1.110e-15,2.087e-03,7.380e-02,5.712
cartesian24+facegl40,13824,9600,face_edge_110,2.99,-4.82437326e+00,3.33260940e+00,-1.49176385e+00,3.790e-04,6.661e-16,1.225e-03,3.068e-03,5.677
cartesian24+facegl40,13824,9600,face_edge_110,8.00,-4.83772041e-01,2.12190269e-01,-2.71581771e-01,1.584e-04,1.343e-14,2.822e-04,1.286e-04,5.958
cartesian24+facegl40,13824,9600,corner_111,1.00,-8.54042896e+00,5.55097196e+00,-2.98945700e+00,1.491e-04,2.887e-15,4.260e-04,2.135e-03,5.957
cartesian24+facegl40,13824,9600,corner_111,2.99,-1.69625929e+00,1.45281742e+00,-2.43441868e-01,1.468e-05,1.554e-15,1.023e-04,4.177e-05,5.812
cartesian24+facegl40,13824,9600,corner_111,8.00,-2.40783032e-01,1.16220938e-01,-1.24562094e-01,3.142e-05,0.000e+00,6.074e-05,1.269e-05,5.712
cartesian24+facegl40,13824,9600,face_to_face_twist45,1.00,-2.10302499e+02,4.57003646e+01,-1.64602134e+02,3.749e-03,2.442e-15,4.785e-03,1.327e+00,5.874
cartesian24+facegl40,13824,9600,face_to_face_twist45,2.99,-2.02852032e+01,8.96438769e+00,-1.13208155e+01,9.720e-04,2.331e-15,1.740e-03,3.310e-02,5.652
cartesian24+facegl40,13824,9600,face_to_face_twist45,8.00,-1.36797735e+00,4.52296213e-01,-9.15681138e-01,3.044e-04,1.665e-15,4.547e-04,6.987e-04,5.955
radial16+facegl40 (cross-rule),8192,9600,face_to_face_100,1.00,-2.26604851e+02,4.73232056e+01,-1.79281645e+02,4.736e-02,0.000e+00,6.062e-02,1.719e+01,2.072
radial16+facegl40 (cross-rule),8192,9600,face_to_face_100,2.99,-2.04411393e+01,9.19131756e+00,-1.12498217e+01,1.219e-03,0.000e+00,2.214e-03,4.186e-02,2.034
radial16+facegl40 (cross-rule),8192,9600,face_to_face_100,8.00,-1.36836271e+00,4.58169982e-01,-9.10192727e-01,4.584e-04,0.000e+00,6.890e-04,1.053e-03,2.061
radial16+facegl40 (cross-rule),8192,9600,face_edge_110,1.00,-3.39164172e+01,1.46661439e+01,-1.92502733e+01,5.011e-02,0.000e+00,8.504e-02,3.001e+00,2.024
radial16+facegl40 (cross-rule),8192,9600,face_edge_110,2.99,-4.79431873e+00,3.33260940e+00,-1.46170933e+00,6.230e-03,0.000e+00,2.015e-02,5.041e-02,2.127
radial16+facegl40 (cross-rule),8192,9600,face_edge_110,8.00,-4.83421397e-01,2.12190269e-01,-2.71231128e-01,7.248e-04,0.000e+00,1.291e-03,5.882e-04,2.051
radial16+facegl40 (cross-rule),8192,9600,corner_111,1.00,-8.19202711e+00,5.55097196e+00,-2.64105514e+00,4.079e-02,0.000e+00,1.165e-01,5.844e-01,2.072
radial16+facegl40 (cross-rule),8192,9600,corner_111,2.99,-1.69645285e+00,1.45281742e+00,-2.43635428e-01,1.141e-04,0.000e+00,7.951e-04,3.247e-04,1.999
radial16+facegl40 (cross-rule),8192,9600,corner_111,8.00,-2.40775103e-01,1.16220938e-01,-1.24554165e-01,3.293e-05,0.000e+00,6.366e-05,1.330e-05,2.095
radial16+facegl40 (cross-rule),8192,9600,face_to_face_twist45,1.00,-2.08924311e+02,4.57003646e+01,-1.63223947e+02,6.553e-03,0.000e+00,8.373e-03,2.312e+00,2.025
radial16+facegl40 (cross-rule),8192,9600,face_to_face_twist45,2.99,-2.02612203e+01,8.96438769e+00,-1.12968327e+01,1.182e-03,0.000e+00,2.118e-03,4.023e-02,2.176
radial16+facegl40 (cross-rule),8192,9600,face_to_face_twist45,8.00,-1.36734454e+00,4.52296213e-01,-9.15048328e-01,4.626e-04,0.000e+00,6.911e-04,1.061e-03,2.062
