r2_mode,n_per_face_axis,surface_nodes,configuration,gap_nm,U_rep_kcalmol,rel_error_vs_reference,rel_change_vs_previous,abs_error_kBT,r2_certificate_nm,wall_seconds
exact_surface,24,3456,face_to_face_twist45,2.99,8.96438769e+00,2.081e-13,5.277e-09,3.1286e-12,7.105e-15,0.035
exact_surface,24,3456,face_to_face_twist45,8.00,4.52296213e-01,1.825e-13,1.157e-09,1.3846e-13,7.105e-15,0.024
exact_surface,32,6144,face_to_face_100,1.00,4.73232056e+01,1.044e-14,2.361e-11,8.3430e-13,5.329e-15,0.048
exact_surface,32,6144,face_to_face_100,2.99,9.19131756e+00,0.000e+00,2.150e-12,0.0000e+00,1.066e-14,0.057
exact_surface,32,6144,face_to_face_100,8.00,4.58169982e-01,3.109e-15,4.153e-12,2.4210e-15,7.105e-15,0.044
exact_surface,32,6144,face_edge_110,1.00,1.46661439e+01,1.332e-15,2.837e-12,3.2776e-14,7.105e-15,0.035
exact_surface,32,6144,face_edge_110,2.99,3.33260940e+00,4.441e-16,1.896e-12,2.9797e-15,7.105e-15,0.043
exact_surface,32,6144,face_edge_110,8.00,2.12190269e-01,1.310e-14,2.207e-12,4.7023e-15,1.066e-14,0.050
exact_surface,32,6144,corner_111,1.00,5.55097196e+00,8.882e-16,1.443e-12,8.9390e-15,7.105e-15,0.044
exact_surface,32,6144,corner_111,2.99,1.45281742e+00,6.661e-16,1.806e-12,1.4898e-15,7.105e-15,0.052
exact_surface,32,6144,corner_111,8.00,1.16220938e-01,2.220e-16,9.130e-13,2.3279e-17,7.105e-15,0.037
exact_surface,32,6144,face_to_face_twist45,1.00,4.57003646e+01,3.331e-16,6.295e-13,2.3837e-14,5.329e-15,0.042
exact_surface,32,6144,face_to_face_twist45,2.99,8.96438769e+00,2.220e-16,2.078e-13,2.9797e-15,7.105e-15,0.056
exact_surface,32,6144,face_to_face_twist45,8.00,4.52296213e-01,1.110e-16,1.823e-13,9.3114e-17,7.105e-15,0.040
nearest_element,3,54,face_to_face_100,1.00,4.24288937e+01,1.034e-01,nan,8.2097e+00,0.000e+00,0.001
nearest_element,3,54,face_to_face_100,2.99,8.39848593e+00,8.626e-02,nan,1.3299e+00,0.000e+00,0.000
nearest_element,3,54,face_to_face_100,8.00,4.27445047e-01,6.706e-02,nan,5.1538e-02,0.000e+00,0.001
nearest_element,3,54,face_edge_110,1.00,1.39362039e+01,4.977e-02,nan,1.2244e+00,0.000e+00,0.001
nearest_element,3,54,face_edge_110,2.99,3.05231633e+00,8.411e-02,nan,4.7016e-01,0.000e+00,0.000
nearest_element,3,54,face_edge_110,8.00,1.90905605e-01,1.003e-01,nan,3.5703e-02,0.000e+00,0.000
nearest_element,3,54,corner_111,1.00,4.72771914e+00,1.483e-01,nan,1.3809e+00,0.000e+00,0.000
nearest_element,3,54,corner_111,2.99,1.31417756e+00,9.543e-02,nan,2.3255e-01,0.000e+00,0.000
nearest_element,3,54,corner_111,8.00,1.06165111e-01,8.652e-02,nan,1.6868e-02,0.000e+00,0.000
nearest_element,3,54,face_to_face_twist45,1.00,2.86209653e+01,3.737e-01,nan,2.8649e+01,0.000e+00,0.000
nearest_element,3,54,face_to_face_twist45,2.99,6.79588884e+00,2.419e-01,nan,3.6374e+00,0.000e+00,0.000
nearest_element,3,54,face_to_face_twist45,8.00,3.95418884e-01,1.258e-01,nan,9.5406e-02,0.000e+00,0.000
nearest_element,4,96,face_to_face_100,1.00,4.48896197e+01,5.142e-02,5.800e-02,4.0821e+00,0.000e+00,0.000
nearest_element,4,96,face_to_face_100,2.99,8.61108645e+00,6.313e-02,2.531e-02,9.7328e-01,0.000e+00,0.000
nearest_element,4,96,face_to_face_100,8.00,4.25299708e-01,7.174e-02,5.019e-03,5.5137e-02,0.000e+00,0.000
nearest_element,4,96,face_edge_110,1.00,1.37327593e+01,6.364e-02,1.460e-02,1.5657e+00,0.000e+00,0.000
nearest_element,4,96,face_edge_110,2.99,3.05913340e+00,8.206e-02,2.233e-03,4.5873e-01,0.000e+00,0.000
nearest_element,4,96,face_edge_110,8.00,1.96086715e-01,7.589e-02,2.714e-02,2.7012e-02,0.000e+00,0.000
nearest_element,4,96,corner_111,1.00,4.54713947e+00,1.808e-01,3.820e-02,1.6838e+00,0.000e+00,0.000
nearest_element,4,96,corner_111,2.99,1.29225688e+00,1.105e-01,1.668e-02,2.6932e-01,0.000e+00,0.000
nearest_element,4,96,corner_111,8.00,1.09156623e-01,6.078e-02,2.818e-02,1.1850e-02,0.000e+00,0.000
nearest_element,4,96,face_to_face_twist45,1.00,2.25278754e+01,5.071e-01,2.129e-01,3.8869e+01,0.000e+00,0.001
nearest_element,4,96,face_to_face_twist45,2.99,6.16155844e+00,3.127e-01,9.334e-02,4.7015e+00,0.000e+00,0.001
nearest_element,4,96,face_to_face_twist45,8.00,3.90443895e-01,1.368e-01,1.258e-02,1.0375e-01,0.000e+00,0.001
nearest_element,6,216,face_to_face_100,1.00,4.57935335e+01,3.232e-02,2.014e-02,2.5659e+00,0.000e+00,0.001
nearest_element,6,216,face_to_face_100,2.99,8.96136519e+00,2.502e-02,4.068e-02,3.8572e-01,0.000e+00,0.001
nearest_element,6,216,face_to_face_100,8.00,4.53340335e-01,1.054e-02,6.593e-02,8.1012e-03,0.000e+00,0.001
nearest_element,6,216,face_edge_110,1.00,1.37951772e+01,5.939e-02,4.545e-03,1.4610e+00,0.000e+00,0.001
nearest_element,6,216,face_edge_110,2.99,3.24475786e+00,2.636e-02,6.068e-02,1.4736e-01,0.000e+00,0.001
nearest_element,6,216,face_edge_110,8.00,2.10802045e-01,6.542e-03,7.505e-02,2.3286e-03,0.000e+00,0.001
nearest_element,6,216,corner_111,1.00,5.07936036e+00,8.496e-02,1.170e-01,7.9108e-01,0.000e+00,0.001
nearest_element,6,216,corner_111,2.99,1.39283095e+00,4.129e-02,7.783e-02,1.0062e-01,0.000e+00,0.001
nearest_element,6,216,corner_111,8.00,1.14696533e-01,1.312e-02,5.075e-02,2.5570e-03,0.000e+00,0.001
nearest_element,6,216,face_to_face_twist45,1.00,3.20332413e+01,2.991e-01,4.219e-01,2.2925e+01,0.000e+00,0.001
nearest_element,6,216,face_to_face_twist45,2.99,7.61424097e+00,1.506e-01,2.358e-01,2.2647e+00,0.000e+00,0.001
nearest_element,6,216,face_to_face_twist45,8.00,4.30119118e-01,4.903e-02,1.016e-01,3.7200e-02,0.000e+00,0.001
nearest_element,8,384,face_to_face_100,1.00,4.65896130e+01,1.550e-02,1.738e-02,1.2305e+00,0.000e+00,0.001
nearest_element,8,384,face_to_face_100,2.99,8.99795745e+00,2.104e-02,4.083e-03,3.2434e-01,0.000e+00,0.001
nearest_element,8,384,face_to_face_100,8.00,4.49472847e-01,1.898e-02,8.531e-03,1.4589e-02,0.000e+00,0.001
nearest_element,8,384,face_edge_110,1.00,1.41493869e+01,3.523e-02,2.568e-02,8.6681e-01,0.000e+00,0.001
nearest_element,8,384,face_edge_110,2.99,3.28249992e+00,1.504e-02,1.163e-02,8.4054e-02,0.000e+00,0.001
nearest_element,8,384,face_edge_110,8.00,2.09838146e-01,1.108e-02,4.573e-03,3.9454e-03,0.000e+00,0.001
nearest_element,8,384,corner_111,1.00,5.31774705e+00,4.202e-02,4.693e-02,3.9121e-01,0.000e+00,0.001
nearest_element,8,384,corner_111,2.99,1.42511816e+00,1.907e-02,2.318e-02,4.6463e-02,0.000e+00,0.001
nearest_element,8,384,corner_111,8.00,1.15005100e-01,1.046e-02,2.690e-03,2.0394e-03,0.000e+00,0.001
nearest_element,8,384,face_to_face_twist45,1.00,3.61093095e+01,2.099e-01,1.272e-01,1.6088e+01,0.000e+00,0.001
nearest_element,8,384,face_to_face_twist45,2.99,8.15536637e+00,9.025e-02,7.107e-02,1.3571e+00,0.000e+00,0.001
nearest_element,8,384,face_to_face_twist45,8.00,4.38774318e-01,2.990e-02,2.012e-02,2.2682e-02,0.000e+00,0.001
nearest_element,12,864,face_to_face_100,1.00,4.67037710e+01,1.309e-02,2.450e-03,1.0390e+00,0.000e+00,0.001
nearest_element,12,864,face_to_face_100,2.99,9.07624340e+00,1.252e-02,8.700e-03,1.9303e-01,0.000e+00,0.001
nearest_element,12,864,face_to_face_100,8.00,4.54041439e-01,9.011e-03,1.016e-02,6.9252e-03,0.000e+00,0.001
nearest_element,12,864,face_edge_110,1.00,1.44414395e+01,1.532e-02,2.064e-02,3.7692e-01,0.000e+00,0.001
nearest_element,12,864,face_edge_110,2.99,3.30630393e+00,7.893e-03,7.252e-03,4.4125e-02,0.000e+00,0.001
nearest_element,12,864,face_edge_110,8.00,2.11328262e-01,4.062e-03,7.101e-03,1.4459e-03,0.000e+00,0.002
nearest_element,12,864,corner_111,1.00,5.43634014e+00,2.065e-02,2.230e-02,1.9228e-01,0.000e+00,0.002
nearest_element,12,864,corner_111,2.99,1.43838939e+00,9.931e-03,9.312e-03,2.4202e-02,0.000e+00,0.002
nearest_element,12,864,corner_111,8.00,1.15717155e-01,4.335e-03,6.192e-03,8.4504e-04,0.000e+00,0.001
nearest_element,12,864,face_to_face_twist45,1.00,4.02708348e+01,1.188e-01,1.152e-01,9.1075e+00,0.000e+00,0.001
nearest_element,12,864,face_to_face_twist45,2.99,8.57617104e+00,4.331e-02,5.160e-02,6.5119e-01,0.000e+00,0.001
nearest_element,12,864,face_to_face_twist45,8.00,4.45983683e-01,1.396e-02,1.643e-02,1.0589e-02,0.000e+00,0.001
nearest_element,16,1536,face_to_face_100,1.00,4.68470268e+01,1.006e-02,3.067e-03,7.9874e-01,0.000e+00,0.003
nearest_element,16,1536,face_to_face_100,2.99,9.12516194e+00,7.198e-03,5.390e-03,1.1097e-01,0.000e+00,0.003
nearest_element,16,1536,face_to_face_100,8.00,4.55500338e-01,5.827e-03,3.213e-03,4.4781e-03,0.000e+00,0.003
nearest_element,16,1536,face_edge_110,1.00,1.45347301e+01,8.960e-03,6.460e-03,2.2043e-01,0.000e+00,0.002
nearest_element,16,1536,face_edge_110,2.99,3.31579757e+00,5.045e-03,2.871e-03,2.8200e-02,0.000e+00,0.004
nearest_element,16,1536,face_edge_110,8.00,2.11700427e-01,2.309e-03,1.761e-03,8.2166e-04,0.000e+00,0.004
nearest_element,16,1536,corner_111,1.00,5.49138957e+00,1.073e-02,1.013e-02,9.9943e-02,0.000e+00,0.002
nearest_element,16,1536,corner_111,2.99,1.44470054e+00,5.587e-03,4.388e-03,1.3615e-02,0.000e+00,0.003
nearest_element,16,1536,corner_111,8.00,1.15931843e-01,2.487e-03,1.855e-03,4.8493e-04,0.000e+00,0.002
nearest_element,16,1536,face_to_face_twist45,1.00,4.22724949e+01,7.501e-02,4.970e-02,5.7499e+00,0.000e+00,0.002
nearest_element,16,1536,face_to_face_twist45,2.99,8.73660961e+00,2.541e-02,1.871e-02,3.8207e-01,0.000e+00,0.003
nearest_element,16,1536,face_to_face_twist45,8.00,4.48708846e-01,7.931e-03,6.110e-03,6.0174e-03,0.000e+00,0.004
nearest_element,24,3456,face_to_face_100,1.00,4.70498965e+01,5.775e-03,4.330e-03,4.5845e-01,0.000e+00,0.009
nearest_element,24,3456,face_to_face_100,2.99,9.14863755e+00,4.644e-03,2.573e-03,7.1591e-02,0.000e+00,0.009
nearest_element,24,3456,face_to_face_100,8.00,4.57022523e-01,2.504e-03,3.342e-03,1.9247e-03,0.000e+00,0.010
nearest_element,24,3456,face_edge_110,1.00,1.46025591e+01,4.335e-03,4.667e-03,1.0666e-01,0.000e+00,0.010
nearest_element,24,3456,face_edge_110,2.99,3.32418107e+00,2.529e-03,2.528e-03,1.4138e-02,0.000e+00,0.011
nearest_element,24,3456,face_edge_110,8.00,2.11939736e-01,1.181e-03,1.130e-03,4.2025e-04,0.000e+00,0.010
nearest_element,24,3456,corner_111,1.00,5.52144043e+00,5.320e-03,5.472e-03,4.9536e-02,0.000e+00,0.006
nearest_element,24,3456,corner_111,2.99,1.44927266e+00,2.440e-03,3.165e-03,5.9460e-03,0.000e+00,0.007
nearest_element,24,3456,corner_111,8.00,1.16097253e-01,1.064e-03,1.427e-03,2.0747e-04,0.000e+00,0.006
nearest_element,24,3456,face_to_face_twist45,1.00,4.40669763e+01,3.574e-02,4.245e-02,2.7398e+00,0.000e+00,0.006
nearest_element,24,3456,face_to_face_twist45,2.99,8.85953549e+00,1.170e-02,1.407e-02,1.7588e-01,0.000e+00,0.006
nearest_element,24,3456,face_to_face_twist45,8.00,4.50626910e-01,3.691e-03,4.275e-03,2.8001e-03,0.000e+00,0.007
nearest_element,32,6144,face_to_face_100,1.00,4.71144333e+01,4.412e-03,1.372e-03,3.5019e-01,0.000e+00,0.016
nearest_element,32,6144,face_to_face_100,2.99,9.16481546e+00,2.883e-03,1.768e-03,4.4455e-02,0.000e+00,0.016
nearest_element,32,6144,face_to_face_100,8.00,4.57520551e-01,1.417e-03,1.090e-03,1.0894e-03,0.000e+00,0.015
nearest_element,32,6144,face_edge_110,1.00,1.46289615e+01,2.535e-03,1.808e-03,6.2370e-02,0.000e+00,0.018
nearest_element,32,6144,face_edge_110,2.99,3.32768249e+00,1.478e-03,1.053e-03,8.2644e-03,0.000e+00,0.017
nearest_element,32,6144,face_edge_110,8.00,2.12037897e-01,7.181e-04,4.632e-04,2.5559e-04,0.000e+00,0.022
nearest_element,32,6144,corner_111,1.00,5.53485743e+00,2.903e-03,2.430e-03,2.7030e-02,0.000e+00,0.022
nearest_element,32,6144,corner_111,2.99,1.45066712e+00,1.480e-03,9.622e-04,3.6069e-03,0.000e+00,0.027
nearest_element,32,6144,corner_111,8.00,1.16149628e-01,6.136e-04,4.511e-04,1.1961e-04,0.000e+00,0.023
nearest_element,32,6144,face_to_face_twist45,1.00,4.47480122e+01,2.084e-02,1.545e-02,1.5975e+00,0.000e+00,0.013
nearest_element,32,6144,face_to_face_twist45,2.99,8.90526455e+00,6.595e-03,5.162e-03,9.9173e-02,0.000e+00,0.017
nearest_element,32,6144,face_to_face_twist45,8.00,4.51398194e-01,1.985e-03,1.712e-03,1.5063e-03,0.000e+00,0.019
