R_nm,E_kcalmol_per_NC_axis,halfwidth_kcalmol
5.799313,-1.415771,0.023895
5.818390,-1.415771,0.023895
5.837467,-1.415771,0.023895
5.856543,-1.415771,0.023895
5.875620,-1.415771,0.023895
5.894697,-1.367981,0.071685
5.913773,-1.367981,0.071685
5.932850,-1.367981,0.071685
5.951927,-1.367981,0.071685
5.971003,-1.367981,0.071685
5.990080,-1.367981,0.071685
6.009157,-1.367981,0.071685
6.028233,-1.332139,0.035842
6.047310,-1.332139,0.035842
6.066387,-1.332139,0.035842
6.085464,-1.332139,0.035842
6.104540,-1.332139,0.035842
6.123617,-1.332139,0.035842
6.142694,-1.296296,0.071685
6.161770,-1.296296,0.071685
6.180847,-1.296296,0.071685
6.199924,-1.296296,0.071685
6.219000,-1.296296,0.071685
6.238077,-1.296296,0.071685
6.257154,-1.296296,0.071685
6.276230,-1.248507,0.023895
6.295307,-1.248507,0.023895
6.314384,-1.248507,0.023895
6.333461,-1.248507,0.023895
6.352537,-1.248507,0.023895
6.371614,-1.248507,0.023895
6.390691,-1.248507,0.023895
6.409767,-1.212664,0.059737
6.428844,-1.212664,0.059737
6.447921,-1.212664,0.059737
6.466997,-1.212664,0.059737
6.486074,-1.212664,0.059737
6.505151,-1.212664,0.059737
6.524227,-1.176822,0.023895
6.543304,-1.176822,0.023895
6.562381,-1.176822,0.023895
6.581457,-1.176822,0.023895
6.600534,-1.176822,0.023895
6.619611,-1.176822,0.023895
6.638688,-1.176822,0.023895
6.657764,-1.129032,0.071685
6.676841,-1.129032,0.071685
6.695918,-1.129032,0.071685
6.714994,-1.129032,0.071685
6.734071,-1.129032,0.071685
6.753148,-1.129032,0.071685
6.772224,-1.129032,0.071685
6.791301,-1.093190,0.035842
6.810378,-1.093190,0.035842
6.829454,-1.093190,0.035842
6.848531,-1.093190,0.035842
6.867608,-1.093190,0.035842
6.886684,-1.093190,0.035842
6.905761,-1.057348,0.071685
6.924838,-1.057348,0.071685
6.943915,-1.057348,0.071685
6.962991,-1.057348,0.071685
6.982068,-1.057348,0.071685
7.001145,-1.057348,0.071685
7.020221,-1.057348,0.071685
7.039298,-1.057348,0.071685
7.058375,-1.057348,0.071685
7.077451,-1.057348,0.071685
7.096528,-1.009558,0.023895
7.115605,-1.009558,0.023895
7.134681,-1.009558,0.023895
7.153758,-1.009558,0.023895
7.172835,-1.009558,0.023895
7.191911,-1.009558,0.023895
7.210988,-1.009558,0.023895
7.230065,-0.973716,0.059737
7.249142,-0.973716,0.059737
7.268218,-0.973716,0.059737
7.287295,-0.973716,0.059737
7.306372,-0.973716,0.059737
7.325448,-0.973716,0.059737
7.344525,-0.973716,0.059737
7.363602,-0.973716,0.059737
7.382678,-0.973716,0.059737
7.401755,-0.973716,0.059737
7.420832,-0.937873,0.023895
7.439908,-0.937873,0.023895
7.458985,-0.937873,0.023895
7.478062,-0.937873,0.023895
7.497138,-0.937873,0.023895
7.516215,-0.937873,0.023895
7.535292,-0.937873,0.023895
7.554369,-0.890084,0.071685
7.573445,-0.890084,0.071685
7.592522,-0.890084,0.071685
7.611599,-0.890084,0.071685
7.630675,-0.890084,0.071685
7.649752,-0.890084,0.071685
7.668829,-0.890084,0.071685
7.687905,-0.890084,0.071685
7.706982,-0.890084,0.071685
7.726059,-0.890084,0.071685
7.745135,-0.854241,0.035842
7.764212,-0.854241,0.035842
7.783289,-0.854241,0.035842
7.802366,-0.854241,0.035842
7.821442,-0.854241,0.035842
7.840519,-0.854241,0.035842
7.859596,-0.854241,0.035842
7.878672,-0.854241,0.035842
7.897749,-0.854241,0.035842
7.916826,-0.854241,0.035842
7.935902,-0.818399,0.071685
7.954979,-0.818399,0.071685
7.974056,-0.818399,0.071685
7.993132,-0.818399,0.071685
8.012209,-0.818399,0.071685
8.031286,-0.818399,0.071685
8.050362,-0.818399,0.071685
8.069439,-0.818399,0.071685
8.088516,-0.818399,0.071685
8.107593,-0.818399,0.071685
8.126669,-0.770609,0.023895
8.145746,-0.770609,0.023895
8.164823,-0.770609,0.023895
8.183899,-0.770609,0.023895
8.202976,-0.770609,0.023895
8.222053,-0.770609,0.023895
8.241129,-0.770609,0.023895
8.260206,-0.770609,0.023895
8.279283,-0.770609,0.023895
8.298359,-0.770609,0.023895
8.317436,-0.734767,0.059737
8.336513,-0.734767,0.059737
8.355589,-0.734767,0.059737
