temperature_K,face_twist_halfwidth_deg,delta_Fmag_before_rotation_kBT,delta_Frotation_kBT,delta_Fmag_after_rotation_kBT,delta_Fcontact_after_rotation_kBT,delta_Fmag_before_rotation_J,delta_Frotation_J,delta_Fmag_after_rotation_J,delta_Fcontact_after_rotation_J
220.0,2.0,0.8490636544521522,-6.80239476332431,-5.953331108872156,-4.426342842738871,2.578969548002561e-21,-2.066178296069568e-20,-1.8082813412693115e-20,-1.3444696802866074e-20
221.0,2.0,0.9256163792234757,-6.80239476332431,-5.8767783841008345,-4.356699567135571,2.8242724356723127e-21,-2.075570015597157e-20,-1.7931427720299257e-20,-1.3293311110472213e-20
222.0,2.0,1.0067353894841502,-6.80239476332431,-5.795659373840159,-4.282427758753119,3.085685023438104e-21,-2.084961735124746e-20,-1.7763932327809355e-20,-1.3125815717982313e-20
223.0,2.0,1.0923941363272012,-6.80239476332431,-5.710000626997111,-4.203554803905979,3.363314704395011e-21,-2.094353454652335e-20,-1.7580219842128343e-20,-1.2942103232301309e-20
224.0,2.0,1.1825279416402372,-6.80239476332431,-5.619866821684072,-4.120146203160308,3.657149485018741e-21,-2.1037451741799238e-20,-1.7380302256780495e-20,-1.2742185646953452e-20
225.0,2.0,1.277032991190296,-6.80239476332431,-5.525361772134016,-4.032306578581469,3.967052225071255e-21,-2.1131368937075128e-20,-1.7164316712003878e-20,-1.2526200102176836e-20
226.0,2.0,1.375765981143782,-6.80239476332431,-5.4266287821805275,-3.9401800275375063,4.29275683298641e-21,-2.1225286132351018e-20,-1.6932529299364605e-20,-1.2294412689537566e-20
227.0,2.0,1.4785443408685741,-6.80239476332431,-5.323850422455735,-3.8439499002120208,4.633866238084193e-21,-2.1319203327626908e-20,-1.668533708954271e-20,-1.2047220479715666e-20
228.0,2.0,1.585146893301636,-6.80239476332431,-5.217247870022673,-3.743838139543188,4.989851758645224e-21,-2.1413120522902798e-20,-1.642326876425757e-20,-1.1785152154430532e-20
229.0,2.0,1.6953147638071138,-6.80239476332431,-5.107079999517197,-3.6401043726642577,5.360053310338359e-21,-2.1507037718178685e-20,-1.614698440784033e-20,-1.1508867798013286e-20
230.0,2.0,1.8087523211792234,-6.80239476332431,-4.9936424421450845,-3.533044970191506,5.74367979201268e-21,-2.1600954913454575e-20,-1.585727512144189e-20,-1.1219158511614846e-20
231.0,2.0,1.9251279412622306,-6.80239476332431,-4.877266822062079,-3.4229922828875203,6.1398089837140005e-21,-2.1694872108730465e-20,-1.5555063125016466e-20,-1.0916946515189421e-20
232.0,2.0,2.0440744322340425,-6.80239476332431,-4.7583203310902675,-3.3103142166535307,6.547386424231637e-21,-2.1788789304006356e-20,-1.5241402879774717e-20,-1.0603286269947676e-20
233.0,2.0,2.1651890518855432,-6.80239476332431,-4.637205711438767,-3.1954142155189267,6.965223011361367e-21,-2.1882706499282246e-20,-1.491748348792088e-20,-1.027936687809384e-20
234.0,2.0,2.288033173155197,-6.80239476332431,-4.5143615901691145,-3.0787315963685895,7.391991467211506e-21,-2.1976623694558136e-20,-1.458463222734663e-20,-9.946515617519592e-21
235.0,2.0,2.4121317967405522,-6.80239476332431,-4.390262966583757,-2.9607420365866393,7.826222279639411e-21,-2.2070540889834023e-20,-1.424431861019461e-20,-9.606202000367572e-21
236.0,2.0,2.53697324265126,-6.80239476332431,-4.265421520673051,-2.841957882752192,8.266300186364e-21,-2.2164458085109913e-20,-1.389815789874592e-20,-9.260041288918879e-21
237.0,2.0,2.662009446778131,-6.80239476332431,-4.14038531654618,-2.7229278543127506,8.710462613222928e-21,-2.2258375280385803e-20,-1.3547912667162876e-20,-8.909796057335837e-21
238.0,2.0,2.786657319030235,-6.80239476332431,-4.015737444294075,-2.6042356856834754,9.156801625251026e-21,-2.2352292475661693e-20,-1.3195490850410667e-20,-8.557374240583628e-21
239.0,2.0,2.9103015742493406,-6.80239476332431,-3.89209318907497,-2.4864972955631597,9.60327085006401e-21,-2.2446209670937583e-20,-1.2842938820873573e-20,-8.204822211046535e-21
240.0,2.0,3.0322993327894814,-6.80239476332431,-3.7700954305348287,-2.3703561865793166,1.0047698499639516e-20,-2.2540126866213467e-20,-1.2492428366573953e-20,-7.854311756746912e-21
241.0,2.0,3.151986630684031,-6.80239476332431,-3.650408132640278,-2.2564769353401832,1.0487807127098138e-20,-2.2634044061489358e-20,-1.2146236934391218e-20,-7.508120324564178e-21
242.0,2.0,3.268686818666084,-6.80239476332431,-3.533707944658227,-2.145536793627967,1.0921240233760916e-20,-2.2727961256765248e-20,-1.1806721023004337e-20,-7.168604413177294e-21
