temperature_K,blocked_fraction,blocked_weight,vdw_kBT,dipole_kBT,epsilon_kBT,epsilon_unblocked_kBT,epsilon_frozen_kBT,vdw_choice,registration,registration_cost_kBT,epsilon_net_kBT,attraction,critical_attraction,dwell_s,size_cv,phi_dilute,phi_dense,two_phase
245.0,0.45869094033986,0.21039737874986503,1.4436975679564281,5.791795132728363,6.016914186502517,7.235492700684791,1.4436975679564281,inherited,none,0.0,6.016914186502517,28.204285249230548,10.698996655518394,150.0,0.1,2.0135855841050725e-05,0.5166294973486285,True
246.0,0.4533594253113254,0.20553476851861524,1.4378288786557922,5.760599954061923,6.014425254631252,7.198428832717715,1.4378288786557922,inherited,none,0.0,6.014425254631252,28.192618381083996,10.698996655518394,150.0,0.1,2.0257695112222982e-05,0.5165470681434815,True
247.0,0.4480577982876759,0.20075579060639964,1.4320077091065782,5.729667514755776,6.011411292025753,7.161675223862354,1.4320077091065782,inherited,none,0.0,6.011411292025753,28.178490431370715,10.698996655518394,150.0,0.1,2.040619779694874e-05,0.5164471773092251,True
248.0,0.442786715546915,0.19606007546482462,1.4262334844730842,5.698994673510202,6.007882832221243,7.125228157983287,1.4262334844730842,inherited,none,0.0,6.007882832221243,28.16195077603708,10.698996655518394,150.0,0.1,2.058139863580483e-05,0.5163301322007281,True
249.0,0.43754680973426224,0.1914472107086307,1.420505639153915,5.668578338838812,6.003850466338673,7.089083977992727,1.420505639153915,inherited,none,0.0,6.003850466338673,28.143049060962532,10.698996655518394,150.0,0.1,2.0783415069003118e-05,0.516196236119664,True
250.0,0.43233869001686315,0.18691674288549728,1.4148236165972994,5.638415468076016,5.999324830345341,7.053239084673316,1.4148236165972994,inherited,none,0.0,5.999324830345341,28.121835142243782,10.698996655518394,150.0,0.1,2.1012444897199984e-05,0.5160457883238515,True
251.0,0.4271629422885145,0.18246817926458075,1.409186869120816,5.608503066408265,5.994316592601747,7.017689935529082,1.409186869120816,inherited,none,0.0,5.994316592601747,28.098359027820685,10.698996655518394,150.0,0.1,2.1268764335482232e-05,0.5158790840350829,True
252.0,0.4220201294084066,0.17810098962588827,1.403594857735416,5.578838185928485,5.988836441787343,6.982433043663901,1.403594857735416,inherited,none,0.0,5.988836441787343,28.07267082087817,10.698996655518394,150.0,0.1,2.1552726426377662e-05,0.5156964144459776,True
253.0,0.41691079142693094,0.1738146080082299,1.398047051973616,5.549417924712945,5.982895075428736,6.947464976686561,1.398047051973616,inherited,none,0.0,5.982895075428736,28.0448206660722,10.698996655518394,150.0,0.1,2.1864759773808774e-05,0.515498066733462,True
254.0,0.4118354457917414,0.16960843441048237,1.3925429297217513,5.520239425920065,5.9765031890404945,6.912782355641816,1.3925429297217513,inherited,none,0.0,5.9765031890404945,28.01485869862732,10.698996655518394,150.0,0.1,2.220536757254178e-05,0.5152843240791469,True
255.0,0.40679458757499387,0.16548183648030937,1.3870819770561758,5.491299876910442,5.969671465671381,6.8783818539666175,1.3870819770561758,inherited,none,0.0,5.969671465671381,27.9828349953346,10.698996655518394,150.0,0.1,2.257512692136952e-05,0.5150554656893529,True
256.0,0.4017886897465793,0.16143415120827292,1.3816636880833002,5.462596508387599,5.962410565746072,6.844260196470899,1.3816636880833002,inherited,none,0.0,5.962410565746072,27.948799526934714,10.698996655518394,150.0,0.1,2.2974688406557657e-05,0.5148117668131236,True
257.0,0.3968182034649922,0.15746468660118393,1.3762875647833654,5.434126593558827,5.9547311173362925,6.810414158342192,1.3762875647833654,inherited,none,0.0,5.9547311173362925,27.912802112513866,10.698996655518394,150.0,0.1,2.3404775929517553e-05,0.5145534987564274,True
258.0,0.3918835583471918,0.15357272330285687,1.3709531168578484,5.405887447315618,5.946643707020478,6.776840564173467,1.3709531168578484,inherited,none,0.0,5.946643707020478,27.874892376658487,10.698996655518394,150.0,0.1,2.3866186754969936e-05,0.5142809289083511,True
259.0,0.38698516272437816,0.14975751616881344,1.365659861580405,5.377876425433123,5.938158871277847,6.743536287013528,1.365659861580405,inherited,none,0.0,5.938158871277847,27.835119709114906,10.698996655518394,150.0,0.1,2.4359791764543748e-05,0.5139943207671838,True
260.0,0.3821234039233839,0.1460182958259936,1.3604073236512495,5.350090923788124,5.929287088233716,6.710498247439373,1.3604073236512495,inherited,none,0.0,5.929287088233716,27.793533226095544,10.698996655518394,150.0,0.1,2.4886535912974783e-05,0.5136939339665979,True
261.0,0.3772986485868119,0.14235427022543456,1.3551950350548847,5.322528377595064,5.920038769703237,6.677723412649948,1.3551950350548847,inherited,none,0.0,5.920038769703237,27.750181732983926,10.698996655518394,150.0,0.1,2.5447438877334365e-05,0.5133800242981313,True
262.0,0.37251124299998223,0.13876462616139182,1.3500225349210873,5.295186260659567,5.9104242536652905,6.645208795580654,1.3500225349210873,inherited,none,0.0,5.9104242536652905,27.70511368905605,10.698996655518394,150.0,0.1,2.6043595880241716e-05,0.5130528437348499,True
263.0,0.36776151339410973,0.13524853073392595,1.344889369389068,5.268062084649071,5.900453797274249,6.612951454038139,1.344889369389068,inherited,none,0.0,5.900453797274249,27.658377174723043,10.698996655518394,150.0,0.1,2.667617866904904e-05,0.5127126404600485,True
264.0,0.3630497662387395,0.13180513276600342,1.3397950914747154,5.241153398380042,5.890137570334286,6.580948489854757,1.3397950914747154,inherited,none,0.0,5.890137570334286,27.610019860941964,10.698996655518394,150.0,0.1,2.7346436644307437e-05,0.5123596588986898,True
265.0,0.3583762885592226,0.1284335642014832,1.3347392609408486,5.214457787121376,5.879485649084048,6.549197048062225,1.3347392609408486,inherited,none,0.0,5.879485649084048,27.560088980081474,10.698996655518394,150.0,0.1,2.805569813729476e-05,0.5119941397466415,True
266.0,0.3537413482862857,0.12513294148739926,1.3297214441703942,5.187972871913552,5.868508010264573,6.517694316083946,1.3297214441703942,inherited,none,0.0,5.868508010264573,27.508631298115183,10.698996655518394,150.0,0.1,2.88053718301484e-05,0.5116163199969284,True
267.0,0.34914519460684074,0.12190236691704869,1.3247412140424153,5.16169630890309,5.857214525583225,6.486437522945505,1.3247412140424153,inherited,none,0.0,5.857214525583225,27.455693088671367,10.698996655518394,150.0,0.1,2.959694830324879e-05,0.5112264329671237,True
268.0,0.34458805829056377,0.11874092991646097,1.3197981498109137,5.135625788691956,5.845614956650628,6.45542393850287,1.3197981498109137,inherited,none,0.0,5.845614956650628,27.40132010929982,10.698996655518394,150.0,0.1,3.043200169590882e-05,0.5108247083307994,True
269.0,0.3400701520059912,0.11564770828537797,1.3148918369863378,5.1097590357015035,5.83371895031846,6.424650872687842,1.3148918369863378,inherited,none,0.0,5.83371895031846,27.34555757961778,10.698996655518394,150.0,0.1,3.131219147657103e-05,0.5104113721509322,True
270.0,0.33559167065810613,0.11262176941509877,1.3100218672197217,5.084093807550551,5.821536034291583,6.394115674770273,1.3100218672197217,inherited,none,0.0,5.821536034291583,27.288450160741796,10.698996655518394,150.0,0.1,3.2239264323990444e-05,0.5099866469111286,True
271.0,0.33115279175322254,0.10966217148595317,1.3051878381893907,5.058627894447269,5.8090756129921575,6.36381573263666,1.3051878381893907,inherited,none,0.0,5.8090756129921575,27.23004193590074,10.698996655518394,150.0,0.1,3.3215056114913436e-05,0.5095507515441984,True
272.0,0.3267536757636308,0.10676796462504395,1.300389353490165,5.033359118594489,5.796346963765416,6.333748472084654,1.300389353490165,inherited,none,0.0,5.796346963765416,27.170376392650386,10.698996655518394,150.0,0.1,3.4241494005240055e-05,0.5091039014614206,True
