geometry,temperature_K,window_s,center_distance_nm,rotation_mobility,extra_contact_barrier_kBT,tau_B_free_s,tau_joint_s,hexane_viscosity_Pa_s,Udd_time_mean_J,Udd_end_J,Udd_eq_J,Udd_initial_J,Neel_only_Udd_time_mean_J,vdW_J,Brownian_max_transition_barrier_J,detailed_balance_relative_error,kBT_J,Udd_time_mean_kBT,Udd_end_kBT,Udd_eq_kBT,Udd_initial_kBT,Neel_only_Udd_time_mean_kBT,vdW_kBT,Brownian_max_transition_barrier_kBT,kBT_kBT
face,244.0,20.0,19.0,1.0,0.0,1.772420016517457e-06,0.004609242594901883,0.0005541904979109645,-2.5970682173513427e-20,-2.5970684493912978e-20,-2.5970684493912963e-20,0.0,-1.4344452466734413e-20,-4.8834370285786125e-21,2.6490341049134006e-20,6.148040636852506e-17,3.36878356e-21,-7.709216609188578,-7.709217297983067,-7.709217297983063,0.0,-4.258051077266125,-1.4496143612677248,7.863473736832771,1.0
face,245.0,20.0,19.0,1.0,0.0,1.742350743629214e-06,0.004387927550618202,0.0005470213439804683,-2.5962269307304876e-20,-2.5962271587085838e-20,-2.5962271587085857e-20,0.0,-1.4964199657202045e-20,-4.8834370285786125e-21,2.6490341049134006e-20,4.647415528353063e-17,3.38259005e-21,-7.675263311114179,-7.6752639850891295,-7.675263985089135,0.0,-4.423888037275473,-1.4436975679564281,7.831377925662025,1.0
face,246.0,20.0,19.0,1.0,0.0,1.7129257608765755e-06,0.0041786564866251995,0.0005399782296787183,-2.5953790103053647e-20,-2.5953792343095022e-20,-2.595379234309502e-20,0.0,-1.5577819534151616e-20,-4.8834370285786125e-21,2.6490341049134006e-20,6.394296471823167e-17,3.39639654e-21,-7.641566524223831,-7.641567183758532,-7.641567183758531,0.0,-4.586572666262231,-1.4378288786557922,7.799543056045512,1.0
face,247.0,20.0,19.0,1.0,0.0,1.684129027925906e-06,0.003980702353459177,0.000533058554820157,-2.5945244855521287e-20,-2.5945247056680093e-20,-2.59452470566801e-20,0.0,-1.6182425443167135e-20,-4.8834370285786125e-21,2.6490341049134006e-20,3.142323822560111e-17,3.4102030300000005e-21,-7.6081232194322705,-7.608123864894956,-7.608123864894957,0.0,-4.745296775824849,-1.4320077091065782,7.767965958652614,1.0
face,248.0,20.0,19.0,1.0,0.0,1.6559449449525575e-06,0.0037933860715008328,0.00052625977699339,-2.593663386315362e-20,-2.5936636026265507e-20,-2.5936636026265525e-20,0.0,-1.6775122388066637e-20,-4.8834370285786125e-21,2.6490341049134006e-20,4.8536507217875887e-17,3.42400952e-21,-7.574930417586462,-7.574931049334672,-7.574931049334677,0.0,-4.899262776601929,-1.4262334844730842,7.736643515270952,1.0
face,249.0,20.0,19.0,1.0,0.0,1.6283583399207908e-06,0.003616073109288389,0.0005195794103248981,-2.5927957427955967e-20,-2.592795955383581e-20,-2.5927959553835814e-20,0.0,-1.7353063881747583e-20,-4.8834370285786125e-21,2.6490341049134006e-20,3.469951191493421e-17,3.4378160100000005e-21,-7.541985188426638,-7.5419858068075625,-7.541985806807563,0.0,-5.0477000023475895,-1.420505639153915,7.705572657779903,1.0
face,250.0,20.0,19.0,1.0,0.0,1.6013544562247125e-06,0.003448170323494176,0.0005130150242606042,-2.591921585537042e-20,-2.5919217944812863e-20,-2.5919217944812845e-20,0.0,-1.79135159824423e-20,-4.8834370285786125e-21,2.6490341049134006e-20,3.8376721588509113e-17,3.4516225e-21,-7.509284649572894,-7.509285254923695,-7.5092852549236895,0.0,-5.189882723977578,-1.4148236165972994,7.674750367148784,1.0
face,251.0,20.0,19.0,1.0,0.0,1.5749189406817311e-06,0.0032891230392178756,0.0005065642423658022,-2.5910409454154817e-20,-2.5910411507934877e-20,-2.591041150793489e-20,0.0,-1.845392659735367e-20,-4.8834370285786125e-21,2.6490341049134006e-20,5.449980751516072e-17,3.4654289900000005e-21,-7.476825965536467,-7.476826558184611,-7.476826558184614,0.0,-5.325149252979981,-1.409186869120816,7.6441736724589475,1.0
face,252.0,20.0,19.0,1.0,0.0,1.5490378318699685e-06,0.0031384123511317462,0.0005002247411438418,-2.5901538536263907e-20,-2.5901540555137434e-20,-2.5901540555137437e-20,0.0,-1.8971996916196068e-20,-4.8834370285786125e-21,2.6490341049134006e-20,3.70983403801081e-17,3.47923548e-21,-7.444606346755209,-7.444606927018758,-7.444606927018759,0.0,-5.452921202159064,-1.403594857735416,7.613839649949191,1.0
face,253.0,20.0,19.0,1.0,0.0,1.5236975488011728e-06,0.0029955526277751893,0.0004939942488739163,-2.589260341673216e-20,-2.589260540143643e-20,-2.5892605401436447e-20,0.0,-1.946575060512983e-20,-4.8834370285786125e-21,2.6490341049134006e-20,3.242621419314089e-17,3.4930419700000006e-21,-7.412623048652391,-7.412623616840317,-7.412623616840322,0.0,-5.572721648440378,-1.398047051973616,7.583745422083778,1.0
