geometry,temperature_K,tilt_halfangle_deg,face_twist_halfwidth_deg,orientation_fraction_per_particle,conditional_magnetic_F_kBT,geometric_rotation_cost_kBT,magnetic_plus_rotation_F_kBT,Udd_kBT,delta_Uani_kBT,delta_Umag_kBT,total_magnetic_rotational_entropy_change_over_kB,F_scramble_standard_error_kBT,nominal_posture_vdW_kBT,partial_F_with_nominal_vdW_kBT,minimum_importance_ESS_fraction,assembly_delta_G_J,conditional_magnetic_F_J,geometric_rotation_cost_J,magnetic_plus_rotation_F_J,Udd_J,delta_Uani_J,delta_Umag_J,F_scramble_standard_error_J,nominal_posture_vdW_J,partial_F_with_nominal_vdW_J
face,210.0,2.0,5.0,0.00020305766030141262,-7.055478277546328,17.004041156721613,9.948562879175284,-9.028237742125098,-0.010958272858730463,-9.039196014983828,-18.987758894159114,0.00041682910388004813,-3.1470044247962274,6.801558454379057,0.12460799371756434,nan,-2.0456391959673727e-20,4.930088607987173e-20,2.8844494120198005e-20,-2.617613756189728e-20,-3.177200977468005e-23,-2.620790957167196e-20,1.2085388394300578e-24,-9.124307875390023e-21,1.9720186244807982e-20
tip,210.0,2.0,5.0,0.0024366919236169515,-1.331509792915898,12.034227857145611,10.702718064229712,-2.5839252002552193,-0.005841080629773874,-2.589766280884993,-13.292484345114705,7.653467563334775e-05,-0.1274238919108616,10.57529417231885,0.1311818438859848,nan,-3.860530094567038e-21,3.489159377915449e-20,3.103106368458745e-20,-7.491736861995054e-21,-1.6935412473875006e-23,-7.508672274468927e-21,2.2190179909486246e-25,-3.6944810477996224e-22,3.0661615579807486e-20
face,210.0,2.0,10.0,0.00040611532060282524,-7.028414676761091,15.617746795601722,8.58933211884063,-8.988343510423336,-0.009070039778183313,-8.99741355020152,-17.586745669042152,0.00043353438479556316,-3.1470044247962274,5.442327694044403,0.12515568116528078,nan,-2.03779247596166e-20,4.5281515640761523e-20,2.4903590881144916e-20,-2.6060469706577186e-20,-2.6297336834388932e-23,-2.6086767043411576e-20,1.25697351115058e-24,-9.124307875390023e-21,1.5779283005754893e-20
tip,210.0,2.0,10.0,0.0024366919236169515,-1.331509792915898,12.034227857145611,10.702718064229712,-2.5839252002552193,-0.005841080629773874,-2.589766280884993,-13.292484345114705,7.653467563334775e-05,-0.1274238919108616,10.57529417231885,0.1311818438859848,nan,-3.860530094567038e-21,3.489159377915449e-20,3.103106368458745e-20,-7.491736861995054e-21,-1.6935412473875006e-23,-7.508672274468927e-21,2.2190179909486246e-25,-3.6944810477996224e-22,3.0661615579807486e-20
face,215.0,2.0,1.0,4.0611532060282525e-05,-6.853551338416354,20.22291698158981,13.369365643173458,-8.81851469501353,-0.012100584367122766,-8.830615279380652,-22.19998092255411,0.00020501526038215338,-3.0738182753823615,10.295547367791096,0.12530006246918185,nan,-2.0344049923941384e-20,6.002961273158723e-20,3.968556280764585e-20,-2.6176838014584832e-20,-3.591931836764991e-23,-2.6212757332952482e-20,6.085663455974234e-25,-9.124307875390023e-21,3.0561254932255833e-20
tip,215.0,2.0,1.0,0.0024366919236169515,-1.2716876624277462,12.034227857145611,10.762540194717864,-2.472857401575644,-0.0055529575344173245,-2.4784103591100615,-13.240950553827926,0.00015434671988050783,-0.12446054558735317,10.63807964913051,0.13913731817056868,nan,-3.7748717438028916e-21,3.57223460119915e-20,3.1947474268188605e-20,-7.340418412050224e-21,-1.6483373323911852e-23,-7.356901785374136e-21,4.581620855810521e-25,-3.694481047799622e-22,3.157802616340864e-20
face,215.0,2.0,2.0,8.122306412056505e-05,-6.852403574000837,18.83662262046992,11.984219046469084,-8.816813066891932,-0.012115631721478901,-8.82892869861341,-20.813147745082496,0.00020302152738019331,-3.0738182753823615,8.910400771086723,0.125329459937783,nan,-2.0340642905387465e-20,5.591454299630773e-20,3.557390009092026e-20,-2.617178690958125e-20,-3.5963984864350464e-23,-2.6207750894445602e-20,6.026481578252636e-25,-9.124307875390023e-21,2.6449592215530242e-20
tip,215.0,2.0,2.0,0.0024366919236169515,-1.2716876624277462,12.034227857145611,10.762540194717864,-2.472857401575644,-0.0055529575344173245,-2.4784103591100615,-13.240950553827926,0.00015434671988050783,-0.12446054558735317,10.63807964913051,0.13913731817056868,nan,-3.7748717438028916e-21,3.57223460119915e-20,3.1947474268188605e-20,-7.340418412050224e-21,-1.6483373323911852e-23,-7.356901785374136e-21,4.581620855810521e-25,-3.694481047799622e-22,3.157802616340864e-20
face,215.0,2.0,5.0,0.00020305766030141262,-6.844621794061743,17.004041156721613,10.15941936265987,-8.805182613607926,-0.0118654442122285,-8.817048057820154,-18.976467420480024,0.00021082593819878539,-3.0738182753823615,7.085601087277508,0.1255336368054724,nan,-2.0317543506001534e-20,5.047471670082106e-20,3.0157173194819524e-20,-2.6137263126134616e-20,-3.522132942526349e-23,-2.6172484455559874e-20,6.25814734608662e-25,-9.124307875390023e-21,2.10328653194295e-20
tip,215.0,2.0,5.0,0.0024366919236169515,-1.2716876624277462,12.034227857145611,10.762540194717864,-2.472857401575644,-0.0055529575344173245,-2.4784103591100615,-13.240950553827926,0.00015434671988050783,-0.12446054558735317,10.63807964913051,0.13913731817056868,nan,-3.7748717438028916e-21,3.57223460119915e-20,3.1947474268188605e-20,-7.340418412050224e-21,-1.6483373323911852e-23,-7.356901785374136e-21,4.581620855810521e-25,-3.694481047799622e-22,3.157802616340864e-20
