gap_nm,U_attr_kcalmol,U_rep_kcalmol,U_pair_kcalmol,U_pair_per_particle_kcalmol,U_pair_kBT_300K,figure_kcalmol
17.4000,-3.676606e-02,1.233617e-03,-3.553244e-02,-1.776622e-02,-5.960206e-02,-1.015530e-01
17.6000,-3.514847e-02,1.150729e-03,-3.399774e-02,-1.699887e-02,-5.702775e-02,-5.376300e-02
17.8000,-3.361476e-02,1.074112e-03,-3.254065e-02,-1.627033e-02,-5.458364e-02,-5.376300e-02
18.0000,-3.215993e-02,1.003239e-03,-3.115669e-02,-1.557835e-02,-5.226218e-02,-5.376300e-02
18.2000,-3.077929e-02,9.376307e-04,-2.984166e-02,-1.492083e-02,-5.005635e-02,-5.376300e-02
18.4000,-2.946848e-02,8.768540e-04,-2.859162e-02,-1.429581e-02,-4.795954e-02,-5.376300e-02
18.6000,-2.822342e-02,8.205135e-04,-2.740291e-02,-1.370145e-02,-4.596559e-02,-5.376300e-02
18.8000,-2.704032e-02,7.682497e-04,-2.627207e-02,-1.313604e-02,-4.406873e-02,-3.598573e-02
19.0000,-2.591563e-02,7.197350e-04,-2.519589e-02,-1.259795e-02,-4.226355e-02,-1.792100e-02
19.2000,-2.484601e-02,6.746707e-04,-2.417134e-02,-1.208567e-02,-4.054496e-02,-1.792100e-02
19.4000,-2.382836e-02,6.327843e-04,-2.319558e-02,-1.159779e-02,-3.890823e-02,-1.792100e-02
19.6000,-2.285978e-02,5.938270e-04,-2.226595e-02,-1.113298e-02,-3.734888e-02,-1.792100e-02
19.8000,-2.193754e-02,5.575711e-04,-2.137997e-02,-1.068998e-02,-3.586272e-02,-1.792100e-02
20.0000,-2.105908e-02,5.238087e-04,-2.053527e-02,-1.026763e-02,-3.444583e-02,-1.792100e-02
20.2000,-2.022201e-02,4.923491e-04,-1.972966e-02,-9.864828e-03,-3.309450e-02,-1.792100e-02
20.4000,-1.942408e-02,4.630180e-04,-1.896106e-02,-9.480531e-03,-3.180526e-02,-1.792100e-02
20.6000,-1.866319e-02,4.356554e-04,-1.822754e-02,-9.113768e-03,-3.057484e-02,-1.792100e-02
20.8000,-1.793736e-02,4.101144e-04,-1.752725e-02,-8.763623e-03,-2.940018e-02,-1.792100e-02
21.0000,-1.724473e-02,3.862604e-04,-1.685847e-02,-8.429234e-03,-2.827837e-02,-1.792100e-02
21.2000,-1.658355e-02,3.639695e-04,-1.621958e-02,-8.109788e-03,-2.720669e-02,-1.792100e-02
21.4000,-1.595217e-02,3.431279e-04,-1.560904e-02,-7.804521e-03,-2.618258e-02,-1.792100e-02
21.6000,-1.534906e-02,3.236310e-04,-1.502542e-02,-7.512712e-03,-2.520362e-02,-1.792100e-02
21.8000,-1.477275e-02,3.053822e-04,-1.446736e-02,-7.233682e-03,-2.426753e-02,-1.792100e-02
22.0000,-1.422187e-02,2.882929e-04,-1.393358e-02,-6.966789e-03,-2.337216e-02,-1.792100e-02
22.2000,-1.369514e-02,2.722811e-04,-1.342286e-02,-6.711428e-03,-2.251548e-02,-1.792100e-02
22.4000,-1.319133e-02,2.572714e-04,-1.293406e-02,-6.467029e-03,-2.169557e-02,-1.792100e-02
22.6000,-1.270930e-02,2.431940e-04,-1.246611e-02,-6.233053e-03,-2.091063e-02,-1.792100e-02
22.8000,-1.224797e-02,2.299846e-04,-1.201798e-02,-6.008991e-03,-2.015894e-02,-1.792100e-02
23.0000,-1.180631e-02,2.175837e-04,-1.158872e-02,-5.794361e-03,-1.943890e-02,-1.792100e-02
23.2000,-1.138335e-02,2.059362e-04,-1.117742e-02,-5.588709e-03,-1.874898e-02,-1.792100e-02
23.4000,-1.097820e-02,1.949914e-04,-1.078321e-02,-5.391603e-03,-1.808773e-02,-1.792100e-02
23.6000,-1.058998e-02,1.847021e-04,-1.040528e-02,-5.202639e-03,-1.745380e-02,-1.792100e-02
23.8000,-1.021788e-02,1.750246e-04,-1.004286e-02,-5.021429e-03,-1.684588e-02,-1.792100e-02
24.0000,-9.861140e-03,1.659185e-04,-9.695221e-03,-4.847611e-03,-1.626275e-02,-1.792100e-02
24.2000,-9.519020e-03,1.573464e-04,-9.361674e-03,-4.680837e-03,-1.570326e-02,-1.792100e-02
24.4000,-9.190837e-03,1.492733e-04,-9.041563e-03,-4.520782e-03,-1.516630e-02,-1.792100e-02
24.6000,-8.875936e-03,1.416671e-04,-8.734269e-03,-4.367134e-03,-1.465085e-02,-1.792100e-02
24.8000,-8.573700e-03,1.344976e-04,-8.439203e-03,-4.219601e-03,-1.415591e-02,-1.792100e-02
25.0000,-8.283545e-03,1.277370e-04,-8.155808e-03,-4.077904e-03,-1.368054e-02,-1.792100e-02
