gap_nm,U_attr_kcalmol,U_rep_kcalmol,U_pair_kcalmol,U_pair_per_particle_kcalmol,U_pair_kBT_300K,figure_kcalmol
19.0000,-5.998799e-02,7.915430e-03,-5.207256e-02,-2.603628e-02,-8.734643e-02,-1.792100e-02
19.2000,-5.755021e-02,7.482009e-03,-5.006820e-02,-2.503410e-02,-8.398431e-02,-1.792100e-02
19.4000,-5.522850e-02,7.075331e-03,-4.815317e-02,-2.407659e-02,-8.077206e-02,-1.792100e-02
19.6000,-5.301655e-02,6.693597e-03,-4.632295e-02,-2.316148e-02,-7.770205e-02,-1.792100e-02
19.8000,-5.090840e-02,6.335095e-03,-4.457330e-02,-2.228665e-02,-7.476719e-02,-1.792100e-02
20.0000,-4.889846e-02,5.998221e-03,-4.290024e-02,-2.145012e-02,-7.196080e-02,-1.792100e-02
20.2000,-4.698150e-02,5.681523e-03,-4.129998e-02,-2.064999e-02,-6.927652e-02,-1.792100e-02
20.4000,-4.515258e-02,5.383659e-03,-3.976892e-02,-1.988446e-02,-6.670832e-02,-1.792100e-02
20.6000,-4.340706e-02,5.103385e-03,-3.830368e-02,-1.915184e-02,-6.425053e-02,-1.792100e-02
20.8000,-4.174060e-02,4.839546e-03,-3.690105e-02,-1.845053e-02,-6.189777e-02,-1.792100e-02
21.0000,-4.014908e-02,4.591183e-03,-3.555789e-02,-1.777895e-02,-5.964475e-02,-1.792100e-02
21.2000,-3.862864e-02,4.357254e-03,-3.427138e-02,-1.713569e-02,-5.748676e-02,-1.792100e-02
21.4000,-3.717564e-02,4.136811e-03,-3.303883e-02,-1.651941e-02,-5.541928e-02,-1.792100e-02
21.6000,-3.578666e-02,3.928929e-03,-3.185773e-02,-1.592886e-02,-5.343810e-02,-1.792100e-02
21.8000,-3.445846e-02,3.732812e-03,-3.072565e-02,-1.536282e-02,-5.153915e-02,-1.792100e-02
22.0000,-3.318799e-02,3.547720e-03,-2.964027e-02,-1.482014e-02,-4.971855e-02,-1.792100e-02
22.2000,-3.197239e-02,3.372966e-03,-2.859942e-02,-1.429971e-02,-4.797262e-02,-1.792100e-02
22.4000,-3.080892e-02,3.207906e-03,-2.760102e-02,-1.380051e-02,-4.629790e-02,-1.792100e-02
22.6000,-2.969504e-02,3.051945e-03,-2.664310e-02,-1.332155e-02,-4.469109e-02,-1.792100e-02
22.8000,-2.862832e-02,2.904524e-03,-2.572379e-02,-1.286190e-02,-4.314905e-02,-1.792100e-02
23.0000,-2.760647e-02,2.765123e-03,-2.484134e-02,-1.242067e-02,-4.166883e-02,-1.792100e-02
23.2000,-2.662732e-02,2.633259e-03,-2.399407e-02,-1.199703e-02,-4.024761e-02,-1.792100e-02
23.4000,-2.568885e-02,2.508478e-03,-2.318037e-02,-1.159018e-02,-3.888271e-02,-1.792100e-02
23.6000,-2.478910e-02,2.390357e-03,-2.239874e-02,-1.119937e-02,-3.757161e-02,-1.792100e-02
23.8000,-2.392624e-02,2.278501e-03,-2.164774e-02,-1.082387e-02,-3.631189e-02,-1.792100e-02
24.0000,-2.309855e-02,2.172541e-03,-2.092601e-02,-1.046301e-02,-3.510126e-02,-1.792100e-02
24.2000,-2.230438e-02,2.072132e-03,-2.023225e-02,-1.011613e-02,-3.393755e-02,-1.792100e-02
24.4000,-2.154218e-02,1.976951e-03,-1.956523e-02,-9.782616e-03,-3.281869e-02,-1.792100e-02
24.6000,-2.081047e-02,1.886694e-03,-1.892378e-02,-9.461890e-03,-3.174272e-02,-1.792100e-02
24.8000,-2.010786e-02,1.801079e-03,-1.830678e-02,-9.153390e-03,-3.070776e-02,-1.792100e-02
25.0000,-1.943301e-02,1.719840e-03,-1.771317e-02,-8.856586e-03,-2.971205e-02,-1.792100e-02
