channel,temperature_K,size_cv,window_s,blocked_fraction,weight_both_free,weight_half_frozen,weight_both_frozen,kBT_J,U_pair_J,U_pair_equilibrium_J,U_pair_both_frozen_J,U_pair_half_frozen_J,vdW_pair_J,repulsive_weight,U_lattice_per_NC_J,U_lattice_per_NC_equilibrium_J,U_pair_excess_J,U_pair_kBT,U_pair_equilibrium_kBT,U_pair_both_frozen_kBT,U_pair_half_frozen_kBT,vdW_pair_kBT,U_lattice_per_NC_kBT,U_lattice_per_NC_equilibrium_kBT,U_pair_excess_kBT
face,227.0,0.0,20.0,0.9847847715074995,0.00023150317807899766,0.029967450628842915,0.969801046193078,3.1340732300000002e-21,-5.671729055012173e-21,-3.098672628401225e-20,-4.883437028578612e-21,-3.098672628401224e-20,-4.8834370285786125e-21,0.36367557651317783,-1.701518716503652e-20,-9.296017885203675e-20,2.5314997229000077e-20,-1.8096989568467017,-9.887046029237883,-1.558175789204074,-9.88704602923788,-1.5581757892040742,-5.429096870540105,-29.66113808771365,8.077347072391182
face,228.0,0.0,20.0,0.9828200334263483,0.0002951512514717907,0.03376963064435987,0.9659352181041684,3.1478797200000003e-21,-5.772393108543653e-21,-3.09794819903054e-20,-4.883437028578612e-21,-3.097948199030541e-20,-4.8834370285786125e-21,0.3622259263490397,-1.731717932563096e-20,-9.29384459709162e-20,2.5207088881761748e-20,-1.8337400479023551,-9.841380467454899,-1.5513416848654595,-9.841380467454902,-1.55134168486546,-5.501220143707066,-29.524141402364698,8.007640419552544
face,229.0,0.0,20.0,0.9806246257368295,0.00037540512783792925,0.03799993827066511,0.961624656601497,3.1616862100000003e-21,-5.8846010017025915e-21,-3.0972167042732294e-20,-4.883437028578612e-21,-3.097216704273226e-20,-4.8834370285786125e-21,0.36060950747704285,-1.7653803005107774e-20,-9.291650112819688e-20,2.5087566041029703e-20,-1.8612223386022204,-9.796091384645123,-1.5445672670276192,-9.796091384645111,-1.5445672670276194,-5.583667015806661,-29.38827415393537,7.934869046042903
face,230.0,0.0,20.0,0.9781745951707598,0.0004763482959602225,0.04269811306656,0.9568255386374798,3.1754927000000003e-21,-6.009485034325448e-21,-3.096478165247145e-20,-4.883437028578612e-21,-3.096478165247147e-20,-4.8834370285786125e-21,0.3588098872895228,-1.8028455102976343e-20,-9.289434495741435e-20,2.4955296618146e-20,-1.8924575182696681,-9.751173936715851,-1.5378517571709773,-9.751173936715857,-1.5378517571709776,-5.677372554809004,-29.253521810147554,7.858716418446182
face,231.0,0.0,20.0,0.9754439353383829,0.0006030003116655193,0.04790612869990313,0.9514908709884313,3.1892991900000003e-21,-6.148258674311438e-21,-3.095732603679369e-20,-4.883437028578612e-21,-3.0957326036793656e-20,-4.8834370285786125e-21,0.3568094445130433,-1.8444776022934316e-20,-9.287197811038108e-20,2.4809067362482254e-20,-1.9277773291352567,-9.706623365365006,-1.5311943902568173,-9.706623365364996,-1.5311943902568175,-5.783331987405771,-29.11987009609502,7.77884603622975
face,232.0,0.0,20.0,0.9724044770102171,0.0007615128890796338,0.05366802020140643,0.945570466909514,3.2031056800000003e-21,-6.3022170172810586e-21,-3.09498004189058e-20,-4.883437028578612e-21,-3.094980041890577e-20,-4.8834370285786125e-21,0.35458936047179834,-1.8906651051843176e-20,-9.284940125671739e-20,2.464758340162474e-20,-1.9675332776660237,-9.66243499618339,-1.5245944144367447,-9.66243499618338,-1.524594414436745,-5.902599832998072,-28.987304988550168,7.694901718517366
face,233.0,0.0,20.0,0.9690257847750583,0.0009594020088010104,0.06002962643228139,0.9390109715589176,3.2169121700000003e-21,-6.472735971222493e-21,-3.0942205027796704e-20,-4.883437028578612e-21,-3.0942205027796716e-20,-4.8834370285786125e-21,0.3521296286406833,-1.941820791366748e-20,-9.282661508339011e-20,2.4469469056574212e-20,-2.0120959569817822,-9.618604236806597,-1.5180510907696343,-9.6186042368066,-1.5180510907696345,-6.036287870945348,-28.855812710419787,7.606508279824814
face,234.0,0.0,20.0,0.9652750632835293,0.001205821229962895,0.06703823097301562,0.9317559477970215,3.2307186600000003e-21,-6.661269866399177e-21,-3.093454009808494e-20,-4.883437028578612e-21,-3.093454009808493e-20,-4.8834370285786125e-21,0.3494090868400419,-1.998380959919753e-20,-9.280362029425481e-20,2.4273270231685764e-20,-2.0618538992185647,-9.575126575114695,-1.5115636929458325,-9.575126575114691,-1.5115636929458327,-6.185561697655694,-28.725379725344084,7.513272675896131
face,235.0,0.0,20.0,0.9611170769047015,0.0015118817084348978,0.07474208277372721,0.9237460355178378,3.2445251500000003e-21,-6.869347151198118e-21,-3.0926805869867713e-20,-4.883437028578612e-21,-3.092680586986772e-20,-4.8834370285786125e-21,0.34640547700584046,-2.0608041453594354e-20,-9.278041760960313e-20,2.4057458718669595e-20,-2.117211867258331,-9.53199757747839,-1.5051315070184033,-9.531997577478391,-1.5051315070184035,-6.351635601774994,-28.595992732435167,7.414785710220059
face,236.0,0.0,20.0,0.956514087315371,0.0018910246020151756,0.0831897761652276,0.9149191992327572,3.2583316400000004e-21,-7.0985637948509e-21,-3.0919002588572053e-20,-4.883437028578612e-21,-3.091900258857203e-20,-4.8834370285786125e-21,0.3430955380549476,-2.12956913845527e-20,-9.275700776571616e-20,2.3820438793721154e-20,-2.1785884861158267,-9.489212887050396,-1.4987538311412067,-9.489212887050389,-1.498753831141207,-6.5357654583474805,-28.467638661151188,7.310624400934569
face,237.0,0.0,20.0,0.9514258143076085,0.002359451515678928,0.09242946835342508,0.905211080130896,3.2721381300000004e-21,-7.350573979874462e-21,-3.091113050480739e-20,-4.883437028578612e-21,-3.091113050480738e-20,-4.8834370285786125e-21,0.3394551379291756,-2.2051721939623387e-20,-9.273339151442217e-20,2.356055652493293e-20,-2.2464131060000394,-9.446768222100511,-1.4924299753136068,-9.446768222100507,-1.492429975313607,-6.739239318000119,-28.34030466630153,7.200355116100471
face,238.0,0.0,20.0,0.9458094259370786,0.0029366183172689674,0.10250791149130482,0.8945554701914262,3.2859446200000004e-21,-7.627077633122602e-21,-3.090318987422034e-20,-4.883437028578612e-21,-3.0903189874220303e-20,-4.8834370285786125e-21,0.3354594514082574,-2.2881232899367806e-20,-9.270956962266102e-20,2.3276112241097737e-20,-2.3211217823636363,-9.404659374393333,-1.4861592611316168,-9.40465937439332,-1.486159261131617,-6.9633653470909085,-28.213978123179995,7.083537592029696
