channel,temperature_K,size_cv,window_s,bound_at_freeze,twist_halfwidth_deg,volume_fraction,frozen_pair_weight,mean_pair_freeze_temperature_K,kBT_J,U_pair_J,U_pair_equilibrium_J,U_pair_frozen_component_J,vdW_pair_J,repulsive_weight,U_lattice_per_NC_J,U_pair_excess_J,U_pair_kBT,U_pair_equilibrium_kBT,U_pair_frozen_component_kBT,vdW_pair_kBT,U_lattice_per_NC_kBT,U_pair_excess_kBT
face,212.0,0.1,20.0,0.0,5.0,0.01,0.5988425361973811,266.61519929822856,2.92697588e-21,-1.539510730363438e-20,-3.1086789137285275e-20,-4.883437028578611e-21,-4.8834370285786125e-21,0.22456695445228242,-4.618532191090314e-20,1.5691681833650894e-20,-5.25973152318371,-10.620787601872987,-1.6684240761760603,-1.6684240761760607,-15.77919456955113,5.361056078689276
face,213.0,0.1,20.0,0.0,5.0,0.01,0.5914980226274176,266.61519929822856,2.94078237e-21,-1.5585040261906932e-20,-3.1080625355938186e-20,-4.883437028578611e-21,-4.8834370285786125e-21,0.22181284709458737,-4.6755120785720794e-20,1.5495585094031253e-20,-5.299623807900797,-10.568828782776668,-1.6605910992926045,-1.660591099292605,-15.898871423702392,5.269204974875871
face,214.0,0.1,20.0,0.0,5.0,0.01,0.584153509057454,266.61519929822856,2.95458886e-21,-1.5774852331764707e-20,-3.107438859462386e-20,-4.883437028578611e-21,-4.8834370285786125e-21,0.21905874588700233,-4.732455699529412e-20,1.5299536262859152e-20,-5.3391023520493155,-10.517330859571391,-1.652831327800583,-1.6528313278005835,-16.017307056147946,5.178228507522076
face,215.0,0.1,20.0,0.0,5.0,0.01,0.5768089954874904,266.61519929822856,2.96839535e-21,-1.5964541947565633e-20,-3.106807895345077e-20,-4.883437028578612e-21,-4.8834370285786125e-21,0.2163046511951714,-4.78936258426969e-20,1.510353700588514e-20,-5.378172401316298,-10.46628743487648,-1.6451437402294178,-1.645143740229418,-16.134517203948896,5.088115033560182
face,216.0,0.1,20.0,0.0,5.0,0.01,0.5694647535611272,269.4231419012354,2.98220184e-21,-1.6154100439152982e-20,-3.1061696541123714e-20,-4.883437028578611e-21,-4.8834370285786125e-21,0.21355066526712996,-4.8462301317458944e-20,1.4907596101970732e-20,-5.416836721941323,-10.415692232663806,-1.6375273340246517,-1.6375273340246521,-16.250510165823968,4.998855510722484
face,217.0,0.1,20.0,0.0,5.0,0.01,0.562132288488869,269.4231419012354,2.99600833e-21,-1.6343225147548918e-20,-3.1055241474769174e-20,-4.883437028578612e-21,-4.8834370285786125e-21,0.21080110291738324,-4.9029675442646756e-20,1.4712016327220256e-20,-5.4549999023363585,-10.365539095403374,-1.629981125112096,-1.6299811251120961,-16.364999707009076,4.910539193067015
face,218.0,0.1,20.0,0.0,5.0,0.01,0.5547998234166107,269.4231419012354,3.00981482e-21,-1.6532222903078622e-20,-3.104871387976177e-20,-4.883437028578611e-21,-4.8834370285786125e-21,0.2080515482788177,-4.9596668709235866e-20,1.451649097668315e-20,-5.492770782183411,-10.315821981287796,-1.6225041474739668,-1.6225041474739672,-16.478312346550233,4.823051199104385
face,219.0,0.1,20.0,0.0,5.0,0.01,0.5474673583443526,269.4231419012354,3.02362131e-21,-1.6721092170690875e-20,-3.1042113889550934e-20,-4.883437028578611e-21,-4.8834370285786125e-21,0.20530200178756208,-5.0163276512072625e-20,1.432102171886006e-20,-5.530154227776253,-10.266534961532908,-1.6150954527366428,-1.6150954527366432,-16.59046268332876,4.736380733756655
face,220.0,0.1,20.0,0.0,5.0,0.01,0.5401348932720943,269.4231419012354,3.0374278e-21,-1.6909831422882896e-20,-3.103544164548923e-20,-4.883437028578611e-21,-4.8834370285786125e-21,0.2025524638988128,-5.072949426864869e-20,1.4125610222606333e-20,-5.567155019415735,-10.217672217752543,-1.607754109769658,-1.6077541097696584,-16.701465058247205,4.650517198336807
face,221.0,0.1,20.0,0.0,5.0,0.01,0.5328532570039032,272.3579786564653,3.05123429e-21,-1.7097110207598695e-20,-3.10286972966613e-20,-4.883437028578612e-21,-4.8834370285786125e-21,0.1998219956686605,-5.1291330622796084e-20,1.3931587089062604e-20,-5.603342314168439,-10.169228039404768,-1.6004792042955873,-1.6004792042955875,-16.810026942505317,4.5658857252363285
