assembly,temperature_K,window_s,volume_fraction,escape_length_nm,site_volume_nm3,number_density_per_m3,alpha_face,alpha_tip,kBT_J,p_free_eq,p_face_eq,p_tip_eq,p_bound_eq,U_total_per_NC_eq_J,U_bound_conditional_eq_J,p_free_window,p_face_window,p_tip_window,p_bound_window,U_total_per_NC_window_J,U_bound_conditional_window_J,p_free_end,p_face_end,p_tip_end,p_bound_end,U_total_per_NC_end_J,U_bound_conditional_end_J,tau_N_isolated_s,tau_B_free_s,encounter_time_s,escape_attempt_time_s,slowest_relaxation_s,strongest_bond_per_NC_J,pair_lifetime_deepest_s,pair_survival_deepest,pair_lifetime_neel_blocked_s,pair_survival_neel_blocked,pair_lifetime_rotation_blocked_s,pair_survival_rotation_blocked,pair_lifetime_direct_escape_s,pair_lifetime_equilibrated_s,pair_survival_equilibrated,regime,persistent_SL_fraction_eq,persistent_SL_fraction_window,vdW_face_J,vdW_tip_J,face_center_distance_nm,tip_center_distance_nm,mean_free_separation_nm,free_state_dipole_diagnostic_J,detailed_balance_relative_error,propagator_normalisation_drift,kBT_kBT,U_total_per_NC_eq_kBT,U_bound_conditional_eq_kBT,U_total_per_NC_window_kBT,U_bound_conditional_window_kBT,U_total_per_NC_end_kBT,U_bound_conditional_end_kBT,strongest_bond_per_NC_kBT,vdW_face_kBT,vdW_tip_kBT,free_state_dipole_diagnostic_kBT,closed_form_p_bound_eq,closed_form_p_bound_error
dimer,255.0,20.0,0.01,0.5,59.69026041820608,2.4414062499999997e+21,0.0008743690490948155,0.0011658253987930874,3.5206549500000006e-21,0.5399170201081217,0.45842160553672884,0.0016613743551496397,0.46008297989187846,-7.055433858689567e-21,-1.5335133371696613e-20,0.5399172172278389,0.45842140780439583,0.0016613749677651867,0.460082782772161,-7.05543074136527e-21,-1.5335133166370215e-20,0.5399170201081238,0.45842160553672656,0.0016613743551496833,0.46008297989187624,-7.055433858689529e-21,-1.5335133371696604e-20,60.83334365479985,1.474586972426643e-06,3.5037223067057485e-06,3.063546341606599e-09,1.8290789145961928e-05,-1.5686889038856305e-20,1.5045738735511613e-05,0.0,1.504574026634827e-05,0.0,2.2718161416128278e-05,0.0,2.271816770898085e-05,1.450211624728796e-05,0.0,Neel crossover,0.0,0.0,-4.8834370285786125e-21,-2.453204187515722e-22,19.0,28.516660498395403,74.26542133780454,3.3269759995607215e-22,5.072629593031908e-20,2.778000611769471e-07,1.0,-2.004011741817972,-4.355761524342682,-2.004010856379228,-4.35576146602217,-2.0040117418179615,-4.35576152434268,-4.455673521444157,-1.3870819770561758,-0.06968033568628251,0.09449878067604213,0.46008297989187824,2.220446049250313e-16
dimer,256.0,20.0,0.01,0.5,59.69026041820608,2.4414062499999997e+21,0.0008743690490948155,0.0011658253987930874,3.53446144e-21,0.5483562810361563,0.44996841957387457,0.0016752993899699451,0.45164371896384453,-6.923405104721149e-21,-1.5329351021652066e-20,0.5483564686298861,0.4499682314012975,0.0016752999688164523,0.4516435313701139,-6.923402138621257e-21,-1.5329350821472635e-20,0.5483562810361493,0.4499684195738808,0.0016752993899699156,0.4516437189638507,-6.923405104721245e-21,-1.532935102165207e-20,55.2054381559135,1.4507913218986208e-06,3.4471821682692857e-06,3.0141093945262202e-09,1.7468258608400962e-05,-1.5686889038856305e-20,1.4369930520176484e-05,0.0,1.4369932078083328e-05,0.0,2.1586884231722157e-05,0.0,2.158689050833773e-05,1.3840299705606374e-05,0.0,Neel crossover,0.0,0.0,-4.8834370285786125e-21,-2.453204187515722e-22,19.0,28.516660498395403,74.26542133780454,3.3269759995607215e-22,1.0176060206318031e-19,2.621538737201945e-07,1.0,-1.9588288689099826,-4.337110839056732,-1.9588280297156833,-4.337110782420258,-1.9588288689100097,-4.337110839056733,-4.438268546751016,-1.3816636880833002,-0.06940814687500797,0.09412964481402636,0.45164371896384414,3.885780586188048e-16
dimer,257.0,20.0,0.01,0.5,59.69026041820608,2.4414062499999997e+21,0.0008743690490948155,0.0011658253987930874,3.54826793e-21,0.5566993238720636,0.4416118904945001,0.0016887856334368806,0.443300676127937,-6.7929236133478e-21,-1.5323512864183755e-20,0.5566995023527318,0.44161171146699507,0.001688786180273275,0.44330049764726837,-6.792920791877182e-21,-1.5323512669011865e-20,0.5566993238720825,0.4416118904944805,0.001688785633436921,0.44330067612791746,-6.792923613347492e-21,-1.532351286418374e-20,50.13605135843289,1.4274857622302419e-06,3.391806520167647e-06,2.96569064175258e-09,1.668775984495822e-05,-1.5686889038856305e-20,1.3728333459334721e-05,0.0,1.3728335044106345e-05,0.0,2.051902267779858e-05,0.0,2.0519028937683976e-05,1.3212306243579005e-05,0.0,Neel crossover,0.0,0.0,-4.8834370285786125e-21,-2.453204187515722e-22,19.0,28.516660498395403,74.26542133780454,3.3269759995607215e-22,1.2761413068788922e-19,1.1411456257715002e-07,1.0,-1.9144336750657382,-4.318589567215618,-1.9144328798973143,-4.318589512210783,-1.9144336750656517,-4.318589567215613,-4.420999019331752,-1.3762875647833654,-0.06913807626459939,0.09376338160463327,0.44330067612793667,3.3306690738754696e-16
dimer,258.0,20.0,0.01,0.5,59.69026041820608,2.4414062499999997e+21,0.0008743690490948155,0.0011658253987930874,3.56207442e-21,0.5649430610053741,0.4333551045533318,0.00170183444129461,0.43505693899462644,-6.6640363544422596e-21,-1.5317618815234136e-20,0.5649432307725859,0.43335493426961436,0.001701834957799676,0.43505676922741404,-6.664033671221582e-21,-1.53176186249343e-20,0.5649430610053204,0.43335510455338505,0.0017018344412944478,0.4350569389946795,-6.664036354443101e-21,-1.5317618815234202e-20,45.56618499368749,1.4046584558551029e-06,3.337567235510899e-06,2.918265490003676e-09,1.5946901080436977e-05,-1.5686889038856305e-20,1.311902500535622e-05,0.0,1.3119026616773079e-05,0.0,1.9510651730142467e-05,0.0,1.9510657972820804e-05,1.2616224287093956e-05,0.0,Neel crossover,0.0,0.0,-4.8834370285786125e-21,-2.453204187515722e-22,19.0,28.516660498395403,74.26542133780454,3.3269759995607215e-22,2.304995490938893e-19,4.5972540307914755e-07,1.0,-1.870830187327265,-4.300196180413922,-1.8708294340525264,-4.300196126990042,-1.8708301873275013,-4.30019618041394,-4.403863364218062,-1.3709531168578484,-0.06887009922481412,0.09339995764492538,0.4350569389946263,1.6653345369377348e-16
dimer,259.0,20.0,0.01,0.5,59.69026041820608,2.4414062499999997e+21,0.0008743690490948155,0.0011658253987930874,3.57588091e-21,0.5730846652900904,0.42520088688528607,0.0017144478246235223,0.4269153347099096,-6.5367862081367725e-21,-1.5311668793950775e-20,0.5730848267303206,0.4252007249572807,0.001714448312398845,0.42691517326967954,-6.536783656999229e-21,-1.5311668608391168e-20,0.5730846652900832,0.42520088688529334,0.0017144478246234947,0.4269153347099168,-6.536786208136888e-21,-1.5311668793950787e-20,41.443433858947564,1.38229788425973e-06,3.2844369455013032e-06,2.8718100088498542e-09,1.5243440456148269e-05,-1.5686889038856305e-20,1.2540201424696524e-05,0.0,1.254020306252531e-05,0.0,1.8558110982272286e-05,0.0,1.855811720728269e-05,1.2050260777196235e-05,0.0,Neel crossover,0.0,0.0,-4.8834370285786125e-21,-2.453204187515722e-22,19.0,28.516660498395403,74.26542133780454,3.3269759995607215e-22,1.0281897408384959e-19,6.974131849801779e-08,1.0,-1.8280212268413527,-4.281929174747258,-1.8280205134122403,-4.28192912285526,-1.8280212268413851,-4.281929174747262,-4.386860030765484,-1.365659861580405,-0.0686041915057994,0.09303934004784073,0.4269153347099096,0.0
dimer,260.0,20.0,0.01,0.5,59.69026041820608,2.4414062499999997e+21,0.0008743690490948155,0.0011658253987930874,3.5896874e-21,0.5811215655103442,0.4171518060759607,0.0017266284136949314,0.4188784344896556,-6.411212040113603e-21,-1.5305662722705604e-20,0.5811217189968143,0.4171516521289186,0.0017266288742670119,0.4188782810031856,-6.4112096151064895e-21,-1.530566254175812e-20,0.5811215655103118,0.41715180607599345,0.0017266284136948327,0.41887843448968826,-6.411212040114121e-21,-1.530566272270565e-20,37.72121025624578,1.3603928387752672e-06,3.2323890175537127e-06,2.8263009115829645e-09,1.457527576846547e-05,-1.5686889038856305e-20,1.1990169778705284e-05,0.0,1.1990171442699408e-05,0.0,1.7657985408840078e-05,0.0,1.765799161573741e-05,1.1512733158210655e-05,0.0,Neel crossover,0.0,0.0,-4.8834370285786125e-21,-2.453204187515722e-22,19.0,28.516660498395403,74.26542133780454,3.3269759995607215e-22,3.354489346791244e-19,3.974270644802047e-07,1.0,-1.7860084530239604,-4.26378707034646,-1.7860077774756902,-4.2637870199388725,-1.7860084530241047,-4.263787070346473,-4.369987492185616,-1.3604073236512495,-0.06834032923077708,0.09268149643227211,0.41887843448965556,5.551115123125783e-17
dimer,261.0,20.0,0.01,0.5,59.69026041820608,2.4414062499999997e+21,0.0008743690490948155,0.0011658253987930874,3.60349389e-21,0.5890514410872095,0.4092101794913797,0.0017383794214112821,0.41094855891279103,-6.287348788558908e-21,-1.5299600527114078e-20,0.5890515869800639,0.40921003316370175,0.0017383798562343208,0.41094841301993607,-6.2873464839406e-21,-1.5299600350654198e-20,0.5890514410871759,0.4092101794914128,0.0017383794214112045,0.410948558912824,-6.2873487885594285e-21,-1.5299600527114117e-20,34.35806406770013,1.3389324116403761e-06,3.1813975340603976e-06,2.781715536648981e-09,1.39404349685202e-05,-1.5686889038856305e-20,1.146734049180528e-05,0.0,1.1467342181705489e-05,0.0,1.6807087625062456e-05,0.0,1.680709381341698e-05,1.1002061953084528e-05,0.0,Neel crossover,0.0,0.0,-4.8834370285786125e-21,-2.453204187515722e-22,19.0,28.516660498395403,74.26542133780454,3.3269759995607215e-22,2.072641255876841e-19,3.597541426980655e-07,1.0,-1.744792409946034,-4.245768410922456,-1.7447917703949818,-4.245768361953348,-1.7447924099461782,-4.245768410922467,-4.35324424508912,-1.3551950350548847,-0.06807848888889671,0.09232639491337452,0.4109485589127906,4.440892098500626e-16
dimer,262.0,20.0,0.01,0.5,59.69026041820608,2.4414062499999997e+21,0.0008743690490948155,0.0011658253987930874,3.61730038e-21,0.5968722161062979,0.4013780792871404,0.0017497046065616264,0.4031277838937021,-6.165227561525507e-21,-1.529348213605434e-20,0.5968723547527477,0.40137794023023216,0.001749705017020139,0.4031276452472523,-6.1652253717629155e-21,-1.5293481963960986e-20,0.5968722161063229,0.4013780792871153,0.0017497046065616626,0.4031277838936769,-6.1652275615251114e-21,-1.5293482136054313e-20,31.317086148064412,1.3179059873278584e-06,3.131437271782485e-06,2.7380318296285144e-09,1.3337067363290894e-05,-1.5686889038856305e-20,1.0970220460662113e-05,0.0,1.097022217619682e-05,0.0,1.6002441518501403e-05,0.0,1.6002447687898512e-05,1.051676387957392e-05,0.0,Neel crossover,0.0,0.0,-4.8834370285786125e-21,-2.453204187515722e-22,19.0,28.516660498395403,74.26542133780454,3.3269759995607215e-22,1.821217487154677e-19,1.20860585095528e-07,1.0,-1.704372574534578,-4.2278717633215575,-1.7043719691763377,-4.227871715746478,-1.7043725745344684,-4.2278717633215495,-4.336628809039161,-1.3500225349210873,-0.06781864732825207,0.09197400409309445,0.403127783893702,5.551115123125783e-17
dimer,263.0,20.0,0.01,0.5,59.69026041820608,2.4414062499999997e+21,0.0008743690490948155,0.0011658253987930874,3.63110687e-21,0.6045820527445728,0.39365733901832134,0.0017606082371056672,0.395417947255427,-6.044875743470912e-21,-1.528730748168626e-20,0.6045821844790202,0.3936572068964629,0.0017606086245169112,0.3954178155209798,-6.044873663237202e-21,-1.528730731384175e-20,0.6045820527445609,0.39365733901833355,0.001760608237105624,0.39541794725543916,-6.0448757434711e-21,-1.5287307481686265e-20,28.5653843679249,1.2973032341276683e-06,3.08248368185061e-06,2.6952283257500033e-09,1.2763435460109728e-05,-1.5686889038856305e-20,1.0497406661886838e-05,0.0,1.0497408402772803e-05,0.0,1.5241267140330968e-05,0.0,1.5241273290370914e-05,1.0055445464819425e-05,0.0,Neel crossover,0.0,0.0,-4.8834370285786125e-21,-2.453204187515722e-22,19.0,28.516660498395403,74.26542133780454,3.3269759995607215e-22,3.3971329338580167e-19,5.216690461828932e-07,1.0,-1.6647474062009395,-4.210095717090877,-1.6647468333084898,-4.210095670866815,-1.6647474062009915,-4.210095717090878,-4.320139726115058,-1.344889369389068,-0.0675607817490572,0.09162429305091539,0.3954179472554272,2.220446049250313e-16
dimer,264.0,20.0,0.01,0.5,59.69026041820608,2.4414062499999997e+21,0.0008743690490948155,0.0011658253987930874,3.64491336e-21,0.6121793441730804,0.38604956077323677,0.0017710950536829798,0.38782065582691977,-5.926317109765943e-21,-1.5281076499470405e-20,0.6121794693173098,0.38604943526339053,0.0017710954192995529,0.38782053068269007,-5.926315133937291e-21,-1.528107633576039e-20,0.6121793441730954,0.3860495607732215,0.0017710950536830225,0.3878206558269045,-5.926317109765704e-21,-1.5281076499470387e-20,26.073623063332533,1.2771140959791415e-06,3.0345128703577145e-06,2.6532841329206537e-09,1.2217907406216193e-05,-1.5686889038856305e-20,1.0047580219380436e-05,0.0,1.0047581985323158e-05,0.0,1.4520966753039464e-05,0.0,1.4520972883336978e-05,9.616797119422932e-06,0.0,Neel crossover,0.0,0.0,-4.8834370285786125e-21,-2.453204187515722e-22,19.0,28.516660498395403,74.26542133780454,3.3269759995607215e-22,3.1501334020502963e-19,3.23788479361653e-08,1.0,-1.6259143975279409,-4.192438884053585,-1.6259138554495822,-4.192438839138933,-1.6259143975278751,-4.19243888405358,-4.303775560485834,-1.3397950914747154,-0.06730486969697744,0.09127723133481344,0.38782065582691977,0.0
