assembly,temperature_K,volume_fraction,escape_length_nm,p_free,p_bound,kBT_J,p_face,p_tip,U_total_per_NC_J,U_total_per_NC_kBT
dimer,222.0,0.0001,0.5,0.9696086243473981,0.030391375652601933,3.06504078e-21,0.030351454023606703,3.992162899523226e-05,-4.70925732325843e-22,-0.15364419794957604
dimer,224.0,0.0001,0.5,0.9721583999031853,0.02784160009681478,3.0926537600000002e-21,0.02780241478888603,3.9185307928751133e-05,-4.311914101390809e-22,-0.1394244049288857
dimer,226.0,0.0001,0.5,0.9744589911696393,0.025541008830360572,3.1202667400000002e-21,0.025502535595312428,3.847323504814785e-05,-3.9535014486377045e-22,-0.1267039576442655
dimer,228.0,0.0001,0.5,0.9765373928776135,0.023462607122386486,3.1478797200000003e-21,0.023424822107408518,3.7785014977972514e-05,-3.6297951784964615e-22,-0.11530920814523565
dimer,230.0,0.0001,0.5,0.9784174742977161,0.02158252570228403,3.1754927000000003e-21,0.021545405553999624,3.712014828440656e-05,-3.337060771704563e-22,-0.10508796860734597
dimer,232.0,0.0001,0.5,0.9801203514757558,0.01987964852424415,3.2031056800000003e-21,0.019843170466299003,3.647805794514531e-05,-3.071994992849976e-22,-0.09590676361480448
dimer,234.0,0.0001,0.5,0.9816647164033211,0.018335283596679033,3.2307186600000003e-21,0.018299425485781496,3.585811089753709e-05,-2.8316742707732503e-22,-0.08764843271042518
dimer,236.0,0.0001,0.5,0.9830671273497436,0.016932872650256513,3.2583316400000004e-21,0.016897613014758395,3.5259635498118256e-05,-2.613509177203986e-22,-0.08021004200800093
dimer,238.0,0.0001,0.5,0.9843422644343669,0.015657735565633005,3.2859446200000004e-21,0.01562305363003711,3.468193559589592e-05,-2.4152043617941713e-22,-0.07350106715414367
dimer,240.0,0.0001,0.5,0.9855031542741425,0.014496845725857554,3.3135576e-21,0.014462721424048816,3.412430180873765e-05,-2.234723340448966e-22,-0.06744181360990875
dimer,242.0,0.0001,0.5,0.9865613672456262,0.013438632754373726,3.34117058e-21,0.013405046733878176,3.3586020495552446e-05,-2.0702575806579981e-22,-0.06196204387319842
dimer,244.0,0.0001,0.5,0.9875271905827024,0.01247280941729755,3.36878356e-21,0.012439743036462695,3.306638083485432e-05,-1.920199377669893e-22,-0.056999784743365735
dimer,246.0,0.0001,0.5,0.9884097802118142,0.011590219788185837,3.39639654e-21,0.011557655107834833,3.256468035100352e-05,-1.7831180657063403e-22,-0.052500290961500634
dimer,248.0,0.0001,0.5,0.9892172939178855,0.010782706082114655,3.42400952e-21,0.010750625852943453,3.208022917120177e-05,-1.6577391569990652e-22,-0.04841514450576251
dimer,250.0,0.0001,0.5,0.9899570081440439,0.01004299185595603,3.4516225e-21,0.01001137950270844,3.161235324758883e-05,-1.5429260470707238e-22,-0.044701471469453094
dimer,252.0,0.0001,0.5,0.9906354204608028,0.009364579539197282,3.47923548e-21,0.009333419142459156,3.116039673812536e-05,-1.4376639667393276e-22,-0.041321260805817245
dimer,254.0,0.0001,0.5,0.9912583394972008,0.008741660502799222,3.50684846e-21,0.008710936779093124,3.072372370609812e-05,-1.3410458995461727e-22,-0.03824077130342189
dimer,256.0,0.0001,0.5,0.9918309639076929,0.008169036092307088,3.53446144e-21,0.008138734373037125,3.030171926996312e-05,-1.2522602176752025e-22,-0.035430014980590716
dimer,258.0,0.0001,0.5,0.9923579517534297,0.007642048246570417,3.56207442e-21,0.007612154456258503,2.9893790311914195e-05,-1.1705798200859403e-22,-0.03286230668044101
dimer,260.0,0.0001,0.5,0.9928434815035604,0.007156518496439581,3.5896874e-21,0.0071270191306053365,2.949936583424438e-05,-1.0953525837530856e-22,-0.030513871033814408
dimer,262.0,0.0001,0.5,0.9932913057095581,0.006708694290441955,3.61730038e-21,0.006679576393405378,2.9117897036576265e-05,-1.0259929628712381e-22,-0.0283634991593161
dimer,264.0,0.0001,0.5,0.9937047982714192,0.006295201728580722,3.64491336e-21,0.0062664528714069,2.8748857173821424e-05,-9.619745919404033e-23,-0.02639224850986316
dimer,266.0,0.0001,0.5,0.9940869960970697,0.005913003902930326,3.67252634e-21,0.005884612161686517,2.8391741243809445e-05,-9.028237670943532e-23,-0.024583180173851474
dimer,268.0,0.0001,0.5,0.9944406358535609,0.005559364146439016,3.7001393200000004e-21,0.005531318080894501,2.8046065544515774e-05,-8.48113696155702e-23,-0.022921128714572345
dimer,270.0,0.0001,0.5,0.9947681864190063,0.0052318135809935745,3.7277523000000004e-21,0.00520410221386019,2.7711367133384193e-05,-7.974594219666091e-23,-0.021392500300156988
dimer,272.0,0.0001,0.5,0.9950718775660843,0.0049281224339157445,3.7553652800000004e-21,0.004900735230700631,2.738720321511393e-05,-7.505133357982154e-23,-0.019985095452504566
dimer,274.0,0.0001,0.5,0.9953537253399397,0.004646274660060225,3.7829782600000005e-21,0.00461920150958099,2.7073150479234694e-05,-7.069612083080407e-23,-0.018687953239996696
dimer,276.0,0.0001,0.5,0.9956155545341584,0.004384445465841548,3.8105912400000005e-21,0.0043576766614369065,2.6768804404641786e-05,-6.665186747923234e-23,-0.017491214166343468
dimer,278.0,0.0001,0.5,0.9958590186170424,0.004140981382957553,3.8382042200000005e-21,0.004114507604412703,2.647377854484952e-05,-6.289281195468284e-23,-0.01638599937620902
dimer,280.0,0.0001,0.5,0.9960856174156993,0.003914382584300684,3.8658172000000005e-21,0.0038881948804957663,2.61877038049178e-05,-5.93955911161994e-23,-0.015364304115621242
dimer,282.0,0.0001,0.5,0.9962967128265714,0.003703287173428613,3.8934301800000006e-21,0.0036773769457099053,2.591022771870791e-05,-5.613899466737615e-23,-0.014418903658720842
dimer,284.0,0.0001,0.5,0.9964935427872275,0.0035064572127725966,3.9210431600000006e-21,0.0034808161990393565,2.564101373324009e-05,-5.310374677909407e-23,-0.013543270148317894
dimer,286.0,0.0001,0.5,0.9966772337148362,0.00332276628516377,3.9486561400000006e-21,0.003297386544658383,2.5379740505387168e-05,-5.0272311702838526e-23,-0.012731499001287692
dimer,288.0,0.0001,0.5,0.9968488115911618,0.003151188408838257,3.976269120000001e-21,0.0031260623076233753,2.5126101214881867e-05,-4.76287205584389e-23,-0.01197824370560685
dimer,290.0,0.0001,0.5,0.9970092118516516,0.002990788148348468,4.0038821e-21,0.0029659083454518734,2.4879802896594553e-05,-4.5158416829001674e-23,-0.0112786579877069
dimer,292.0,0.0001,0.5,0.9971592882168,0.0028407117832000466,4.03149508e-21,0.0028160712174058362,2.4640565794210282e-05,-4.2848118399665817e-23,-0.01062834446015641
