assembly,channel,dipole_manifold,temperature_K,twist_halfwidth_deg,volume_fraction,twist_registry_weight,twist_free_energy_cost_kBT,orbit_count,alpha,p_pair,p_free,kBT_J,vdW_pair_J,U_bound_conditional_per_NC_J,U_total_per_NC_J,vdW_pair_kBT,U_bound_conditional_per_NC_kBT,U_total_per_NC_kBT
dimer,face,free,230.0,1.0,0.01,0.0002777777777777778,8.1886891244442,1,3.238403885536354e-07,0.0008149156364132981,0.9991850843635867,3.1754927000000003e-21,-4.8834370285786125e-21,-1.5482390826235725e-20,-1.2616842373361293e-23,-1.5378517571709776,-4.875586968357926,-0.0039731920572077814
dimer,face,free,231.0,1.0,0.01,0.0002777777777777778,8.1886891244442,1,3.238403885536354e-07,0.00078126192686416,0.9992187380731359,3.1892991900000003e-21,-4.8834370285786125e-21,-1.5478663018396846e-20,-1.2092890095033734e-23,-1.5311943902568175,-4.853311682682503,-0.003791707636884871
dimer,face,free,232.0,1.0,0.01,0.0002777777777777778,8.1886891244442,1,3.238403885536354e-07,0.0007492769338090387,0.999250723066191,3.2031056800000003e-21,-4.8834370285786125e-21,-1.54749002094529e-20,-1.1594985779939718e-23,-1.524594414436745,-4.831217498091695,-0.00361991983353472
dimer,face,free,233.0,1.0,0.01,0.0002777777777777778,8.1886891244442,1,3.238403885536354e-07,0.0007188656490813777,0.9992811343509186,3.2169121700000003e-21,-4.8834370285786125e-21,-1.5471102513898352e-20,-1.1121644150658073e-23,-1.5180510907696345,-4.8093021184032985,-0.0034572420889744317
dimer,face,free,234.0,1.0,0.01,0.0002777777777777778,8.1886891244442,1,3.238403885536354e-07,0.0006899391181475006,0.9993100608818525,3.2307186600000003e-21,-4.8834370285786125e-21,-1.546727004904247e-20,-1.067147465778561e-23,-1.5115636929458327,-4.787563287557347,-0.003303127192692665
dimer,face,free,235.0,1.0,0.01,0.0002777777777777778,8.1886891244442,1,3.238403885536354e-07,0.0006624140158874092,0.9993375859841126,3.2445251500000003e-21,-4.8834370285786125e-21,-1.5463402934933857e-20,-1.0243174837414685e-23,-1.5051315070184035,-4.765998788739195,-0.003157064397363258
dimer,face,free,236.0,1.0,0.01,0.0002777777777777778,8.1886891244442,1,3.238403885536354e-07,0.0006362122546526409,0.9993637877453474,3.2583316400000004e-21,-4.8834370285786125e-21,-1.5459501294286027e-20,-9.835524174243133e-24,-1.498753831141207,-4.744606443525198,-0.003018576762874614
dimer,face,free,237.0,1.0,0.01,0.0002777777777777778,8.1886891244442,1,3.238403885536354e-07,0.0006112606219616623,0.9993887393780383,3.2721381300000004e-21,-4.8834370285786125e-21,-1.5455565252403696e-20,-9.447378428953338e-24,-1.492429975313607,-4.7233841110502555,-0.002887218709484412
dimer,face,free,238.0,1.0,0.01,0.0002777777777777778,8.1886891244442,1,3.238403885536354e-07,0.0005874904454232975,0.9994125095545767,3.2859446200000004e-21,-4.8834370285786125e-21,-1.545159493711017e-20,-9.077664392103222e-24,-1.486159261131617,-4.702329687196666,-0.0027625737624583646
dimer,face,free,239.0,1.0,0.01,0.0002777777777777778,8.1886891244442,1,3.238403885536354e-07,0.0005648372826875816,0.9994351627173124,3.2997511100000004e-21,-4.8834370285786125e-21,-1.544759047867538e-20,-8.72537503004556e-24,-1.4799410215452922,-4.681441103803547,-0.002644252472134348
dimer,face,free,240.0,1.0,0.01,0.0002777777777777778,8.1886891244442,1,3.238403885536354e-07,0.0005432406344130692,0.999456759365587,3.3135576e-21,-4.8834370285786125e-21,-1.5443552009745157e-20,-8.38956499136519e-24,-1.473774600622187,-4.660716327896385,-0.0025318904947857824
