assembly,temperature_K,state_index,contact,spin1_index,spin2_index,energy_per_NC_J,p_equilibrium,p_window_mean
superlattice,279.0,149,tip,2,5,-1.6651763588687416e-20,3.0727101493067336e-10,7.989342768983868e-10
superlattice,279.0,150,tip,2,6,1.4689200238674833e-20,8.994735902633151e-14,2.389905835097662e-13
superlattice,279.0,151,tip,2,7,1.468920023867483e-20,8.994735902633182e-14,2.35479942325819e-13
superlattice,279.0,152,tip,3,0,1.468920023867483e-20,8.994735902633182e-14,2.101870432011221e-13
superlattice,279.0,153,tip,3,1,1.4689200238674833e-20,8.994735902633151e-14,2.1334990345683626e-13
superlattice,279.0,154,tip,3,2,1.4689200238674833e-20,8.994735902633151e-14,2.133499034568415e-13
superlattice,279.0,155,tip,3,3,1.4689200238674836e-20,8.994735902633151e-14,2.2557977125184182e-13
superlattice,279.0,156,tip,3,4,-1.6651763588687416e-20,3.0727101493067336e-10,7.982025845797098e-10
superlattice,279.0,157,tip,3,5,-1.6651763588687413e-20,3.0727101493067336e-10,7.998748593287426e-10
superlattice,279.0,158,tip,3,6,-1.6651763588687413e-20,3.0727101493067336e-10,7.998748593287528e-10
superlattice,279.0,159,tip,3,7,-1.665176358868741e-20,3.0727101493067336e-10,8.071225312952985e-10
superlattice,279.0,160,tip,4,0,-1.665176358868741e-20,3.0727101493067336e-10,8.071225306886247e-10
superlattice,279.0,161,tip,4,1,-1.6651763588687413e-20,3.0727101493067336e-10,7.998748590086325e-10
superlattice,279.0,162,tip,4,2,-1.6651763588687413e-20,3.0727101493067336e-10,7.998748590086424e-10
superlattice,279.0,163,tip,4,3,-1.6651763588687416e-20,3.0727101493067336e-10,7.982025845809564e-10
superlattice,279.0,164,tip,4,4,1.4689200238674836e-20,8.994735902633151e-14,2.2557977239259858e-13
superlattice,279.0,165,tip,4,5,1.4689200238674833e-20,8.994735902633151e-14,2.1334990502621283e-13
superlattice,279.0,166,tip,4,6,1.4689200238674833e-20,8.994735902633151e-14,2.1334990502622212e-13
superlattice,279.0,167,tip,4,7,1.468920023867483e-20,8.994735902633182e-14,2.101870448709438e-13
superlattice,279.0,168,tip,5,0,1.468920023867483e-20,8.994735902633182e-14,2.3547994231790357e-13
superlattice,279.0,169,tip,5,1,1.4689200238674833e-20,8.994735902633151e-14,2.3899058350976853e-13
superlattice,279.0,170,tip,5,2,-1.6651763588687416e-20,3.0727101493067336e-10,7.989342768984224e-10
superlattice,279.0,171,tip,5,3,-1.6651763588687413e-20,3.0727101493067336e-10,7.998748593293473e-10
superlattice,279.0,172,tip,5,4,1.4689200238674833e-20,8.994735902633151e-14,2.1334990502588689e-13
superlattice,279.0,173,tip,5,5,1.4689200238674836e-20,8.994735902633151e-14,2.2577075155491804e-13
superlattice,279.0,174,tip,5,6,-1.6651763588687413e-20,3.0727101493067336e-10,7.269109882082704e-10
superlattice,279.0,175,tip,5,7,-1.665176358868741e-20,3.0727101493067336e-10,7.332828540577461e-10
superlattice,279.0,176,tip,6,0,1.468920023867483e-20,8.994735902633182e-14,2.354799423179022e-13
superlattice,279.0,177,tip,6,1,-1.6651763588687416e-20,3.0727101493067336e-10,7.989342768984035e-10
superlattice,279.0,178,tip,6,2,1.4689200238674833e-20,8.994735902633151e-14,2.389905835097723e-13
superlattice,279.0,179,tip,6,3,-1.6651763588687413e-20,3.0727101493067336e-10,7.998748593293372e-10
superlattice,279.0,180,tip,6,4,1.4689200238674833e-20,8.994735902633151e-14,2.1334990502587858e-13
superlattice,279.0,181,tip,6,5,-1.6651763588687413e-20,3.0727101493067336e-10,7.269109882082169e-10
superlattice,279.0,182,tip,6,6,1.4689200238674836e-20,8.994735902633151e-14,2.257707515549221e-13
superlattice,279.0,183,tip,6,7,-1.665176358868741e-20,3.0727101493067336e-10,7.332828540577269e-10
superlattice,279.0,184,tip,7,0,4.603016406603707e-20,2.6330265474721806e-17,6.844474931574682e-17
superlattice,279.0,185,tip,7,1,1.468920023867483e-20,8.994735902633182e-14,2.354799423256416e-13
superlattice,279.0,186,tip,7,2,1.468920023867483e-20,8.994735902633182e-14,2.354799423256456e-13
superlattice,279.0,187,tip,7,3,-1.665176358868741e-20,3.0727101493067336e-10,8.071225312951891e-10
