assembly,temperature_K,regime,pair_lifetime_deepest_s,pair_survival_deepest,pair_lifetime_neel_blocked_s,pair_lifetime_rotation_blocked_s,pair_lifetime_direct_escape_s,p_bound_eq,contact_barrier_kBT
superlattice,260.0,Neel crossover,215.4397944455552,0.91134556543376,215.5936115199473,294.90507337464965,689.2664212596255,0.9999999624843429,0.0
superlattice,265.0,Neel crossover,121.86530881714266,0.8486441130011754,121.95698097327687,168.7706286293837,388.4359368519089,0.9999999384735941,0.0
superlattice,270.0,Neel crossover,70.31351528452879,0.75243531041697,70.36906650752195,98.57080083982143,223.34646178160776,0.9999999009276608,0.0
superlattice,275.0,Neel crossover,41.33890023707599,0.6164323331216067,41.373100887917154,58.689878900511424,130.8914779019916,0.9999998432097024,0.0
superlattice,280.0,Neel crossover,24.74159426861429,0.4455903529313321,24.76297110013337,35.58766542189059,78.10747531067904,0.9999997559016881,0.0
superlattice,285.0,Neel crossover,15.061221231871151,0.26502977699797253,15.074777023783662,21.955518110808462,47.41628824887813,0.9999996258344027,0.0
superlattice,290.0,Neel crossover,9.317449319116983,0.11689136543167289,9.326165028703734,13.769204699297685,29.258169413381932,0.9999994348480494,0.0
superlattice,295.0,Neel crossover,5.853319960534906,0.03281520467932036,5.858998265806026,8.770666864357022,18.336072066983974,0.9999991582288174,0.0
superlattice,300.0,fast Neel and Brownian,3.731311085337817,0.0047006861478828925,3.735057637551841,5.669899297288398,11.662241435140619,0.9999987627605088,0.0
superlattice,200.0,"Neel blocked, Brownian only",1794082.536915926,0.9999886905214624,1794625.1494331325,1983254.7901977855,5393214.466226133,0.999999999985609,5.0
superlattice,205.0,"Neel blocked, Brownian only",704927.4466874097,0.9999719298682791,705165.7641909568,786598.9917634508,2118514.014688805,0.9999999999669543,5.0
superlattice,210.0,"Neel blocked, Brownian only",288776.0706834543,0.9999307430293393,288884.3871634766,325463.094238227,867615.574535232,0.9999999999270559,5.0
superlattice,215.0,"Neel blocked, Brownian only",123001.7552376198,0.9998372977545009,123052.6246419211,140096.5166870743,369439.4930871587,0.9999999998448097,5.0
superlattice,220.0,"Neel blocked, Brownian only",54339.738735908206,0.9996324098035759,54364.39955300617,62579.80900218226,163150.81020383912,0.9999999996809696,5.0
superlattice,225.0,"Neel blocked, Brownian only",24842.597597642394,0.9991953834247672,24854.9342961222,28941.17742075225,74553.25956837706,0.9999999993648349,5.0
superlattice,230.0,"Neel blocked, Brownian only",11728.768053093632,0.9982964101674399,11735.139930314452,13827.616829203214,35177.03817339313,0.9999999987727283,5.0
superlattice,235.0,"Neel blocked, Brownian only",5707.7444342564195,0.9965021001823444,5711.148089228629,6811.989434251592,17105.068069187622,0.9999999976942002,5.0
superlattice,240.0,"Neel blocked, Brownian only",2858.154051866043,0.993027399940254,2860.0401132946295,3453.881558487002,8556.330384183417,0.9999999957802161,5.0
superlattice,245.0,Neel crossover,1470.3936298670894,0.9864897884101248,1471.4825983034045,1799.3592722103795,4395.739677084533,0.9999999924656496,5.0
superlattice,250.0,Neel crossover,776.0445394448939,0.974558634754847,776.7031797473722,961.6757593477031,2315.778439049493,0.9999999868559005,5.0
