channel,inherit,temperature_K,freeze_temperature_K,window_s,blocked,kBT_J,U_pair_J,U_pair_equilibrium_J,vdW_pair_J,repulsive_weight,U_per_NC_J,U_lattice_per_NC_J,U_lattice_per_NC_equilibrium_J,U_pair_excess_J,U_pair_kBT,U_pair_equilibrium_kBT,vdW_pair_kBT,U_per_NC_kBT,U_lattice_per_NC_kBT,U_lattice_per_NC_equilibrium_kBT,U_pair_excess_kBT
face,dispersed,238.0,266.9491585330256,20.0,True,3.2859446200000004e-21,-4.883437028578612e-21,-3.090318987422034e-20,-4.8834370285786125e-21,0.375,-2.441718514289306e-21,-1.4650311085735836e-20,-9.270956962266102e-20,2.6019752845641728e-20,-1.4861592611316168,-9.404659374393333,-1.486159261131617,-0.7430796305658084,-4.458477783394851,-28.213978123179995,7.918500113261715
face,dispersed,239.0,266.9491585330256,20.0,True,3.2997511100000004e-21,-4.883437028578612e-21,-3.089518095735076e-20,-4.8834370285786125e-21,0.375,-2.441718514289306e-21,-1.4650311085735836e-20,-9.268554287205228e-20,2.6011743928772148e-20,-1.479941021545292,-9.362882207607093,-1.4799410215452922,-0.739970510772646,-4.439823064635876,-28.08864662282128,7.882941186061801
face,dispersed,240.0,266.9491585330256,20.0,True,3.3135576e-21,-4.883437028578612e-21,-3.0887104019490313e-20,-4.8834370285786125e-21,0.375,-2.441718514289306e-21,-1.4650311085735836e-20,-9.266131205847094e-20,2.6003666990911702e-20,-1.4737746006221868,-9.32143265579277,-1.473774600622187,-0.7368873003110934,-4.421323801866561,-27.964297967378307,7.847658055170582
face,dispersed,241.0,266.9491585330256,20.0,True,3.32736409e-21,-4.883437028578612e-21,-3.08789593305421e-20,-4.8834370285786125e-21,0.375,-2.441718514289306e-21,-1.4650311085735836e-20,-9.263687799162629e-20,2.5995522301963487e-20,-1.4676593533167006,-9.280306721871876,-1.4676593533167008,-0.7338296766583503,-4.402978059950102,-27.84092016561563,7.812647368555176
face,dispersed,242.0,266.9491585330256,20.0,True,3.34117058e-21,-4.883437028578612e-21,-3.087074716488294e-20,-4.8834370285786125e-21,0.375,-2.441718514289306e-21,-1.4650311085735836e-20,-9.261224149464882e-20,2.598731013630433e-20,-1.4615946452451438,-9.239500476172317,-1.461594645245144,-0.7307973226225719,-4.384783935735432,-27.718501428516955,7.777905830927174
face,dispersed,243.0,266.9491585330256,20.0,True,3.35497707e-21,-4.883437028578612e-21,-3.086246780122704e-20,-4.8834370285786125e-21,0.375,-2.441718514289306e-21,-1.4650311085735836e-20,-9.258740340368113e-20,2.597903077264843e-20,-1.4555798524663572,-9.199010055000775,-1.4555798524663575,-0.7277899262331786,-4.366739557399072,-27.597030165002327,7.743430202534419
face,dispersed,244.0,266.9491585330256,20.0,True,3.36878356e-21,-4.883437028578612e-21,-3.085412152249161e-20,-4.8834370285786125e-21,0.375,-2.441718514289306e-21,-1.4650311085735836e-20,-9.256236456747483e-20,2.5970684493913e-20,-1.4496143612677246,-9.158831659250797,-1.4496143612677248,-0.7248071806338623,-4.348843083803175,-27.47649497775239,7.7092172979830735
face,dispersed,245.0,266.9491585330256,20.0,True,3.38259005e-21,-4.883437028578612e-21,-3.0845708615664473e-20,-4.8834370285786125e-21,0.375,-2.441718514289306e-21,-1.4650311085735836e-20,-9.253712584699342e-20,2.5962271587085863e-20,-1.443697567956428,-9.118961553045564,-1.4436975679564281,-0.721848783978214,-4.331092703869284,-27.356884659136693,7.675263985089137
face,dispersed,246.0,266.9491585330256,20.0,True,3.39639654e-21,-4.883437028578612e-21,-3.083722937167365e-20,-4.8834370285786125e-21,0.375,-2.441718514289306e-21,-1.4650311085735836e-20,-9.251168811502094e-20,2.5953792343095037e-20,-1.437828878655792,-9.079396062414327,-1.4378288786557922,-0.718914439327896,-4.313486635967376,-27.238188187242983,7.641567183758536
face,dispersed,247.0,266.9491585330256,20.0,True,3.4102030300000005e-21,-4.883437028578612e-21,-3.082868408525868e-20,-4.8834370285786125e-21,0.375,-2.441718514289306e-21,-1.4650311085735836e-20,-9.248605225577605e-20,2.594524705668007e-20,-1.432007709106578,-9.040131574001526,-1.4320077091065782,-0.716003854553289,-4.296023127319734,-27.120394722004583,7.6081238648949485
face,dispersed,248.0,266.9491585330256,20.0,True,3.42400952e-21,-4.883437028578612e-21,-3.082007305484414e-20,-4.8834370285786125e-21,0.375,-2.441718514289306e-21,-1.4650311085735836e-20,-9.246021916453242e-20,2.593663602626553e-20,-1.426233484473084,-9.001164533807762,-1.4262334844730842,-0.713116742236542,-4.278700453419252,-27.003493601423287,7.574931049334679
face,dispersed,249.0,266.9491585330256,20.0,True,3.4378160100000005e-21,-4.883437028578612e-21,-3.081139658241446e-20,-4.8834370285786125e-21,0.375,-2.441718514289306e-21,-1.4650311085735836e-20,-9.243418974724337e-20,2.5927959553835847e-20,-1.4205056391539148,-8.962491445961488,-1.420505639153915,-0.7102528195769574,-4.261516917461744,-26.887474337884463,7.541985806807573
face,dispersed,250.0,266.9491585330256,20.0,True,3.4516225e-21,-4.883437028578612e-21,-3.080265497339148e-20,-4.8834370285786125e-21,0.375,-2.441718514289306e-21,-1.4650311085735836e-20,-9.240796492017445e-20,2.5919217944812872e-20,-1.4148236165972992,-8.924108871520996,-1.4148236165972994,-0.7074118082986496,-4.244470849791898,-26.772326614562992,7.5092852549236975
