geometry,temperature_K,old_rotation_cost_kBT,new_rotation_cost_kBT,free_energy_change_kBT,Udd_kBT,new_Fmag_plus_rotation_kBT
face,262.0,17.004041156721613,12.609592002049173,-4.39444915467244,-6.27495668174015,7.782642972973726
face,263.0,17.004041156721613,12.609592002049173,-4.39444915467244,-6.3154779036628375,7.770507440564658
face,264.0,17.004041156721613,12.609592002049173,-4.39444915467244,-6.350138150112739,7.761693740224753
face,265.0,17.004041156721613,12.609592002049173,-4.39444915467244,-6.379441903696627,7.755866563526543
face,266.0,17.004041156721613,12.609592002049173,-4.39444915467244,-6.403870334041553,7.752723224293704
face,267.0,17.004041156721613,12.609592002049173,-4.39444915467244,-6.423873897692505,7.751991283868714
face,268.0,17.004041156721613,12.609592002049173,-4.39444915467244,-6.439868594727991,7.753425758252761
face,269.0,17.004041156721613,12.609592002049173,-4.39444915467244,-6.452235011083958,7.756806347876094
face,270.0,17.004041156721613,12.609592002049173,-4.39444915467244,-6.461319244657167,7.761934868361291
face,271.0,17.004041156721613,12.609592002049173,-4.39444915467244,-6.467434935735806,7.768632933081651
face,272.0,17.004041156721613,12.609592002049173,-4.39444915467244,-6.470865818345253,7.7767398837723745
face,273.0,17.004041156721613,12.609592002049173,-4.39444915467244,-6.4718684102715045,7.786110947010733
face,274.0,17.004041156721613,12.609592002049173,-4.39444915467244,-6.470674624169976,7.79661559180133
face,275.0,17.004041156721613,12.609592002049173,-4.39444915467244,-6.467494196120732,7.80813606544814
face,276.0,17.004041156721613,12.609592002049173,-4.39444915467244,-6.462516895990808,7.820566087464807
face,277.0,17.004041156721613,12.609592002049173,-4.39444915467244,-6.455914518905364,7.83380968365872
face,278.0,17.004041156721613,12.609592002049173,-4.39444915467244,-6.447842672128511,7.847780144631529
face,279.0,17.004041156721613,12.609592002049173,-4.39444915467244,-6.438442376383046,7.862399094787898
face,280.0,17.004041156721613,12.609592002049173,-4.39444915467244,-6.4278415008576655,7.877595659568558
face,281.0,17.004041156721613,12.609592002049173,-4.39444915467244,-6.416156049748343,7.893305720049435
face,282.0,17.004041156721613,12.609592002049173,-4.39444915467244,-6.403491316379778,7.909471245302868
face,283.0,17.004041156721613,12.609592002049173,-4.39444915467244,-6.389942919192192,7.926039694019631
face,284.0,17.004041156721613,12.609592002049173,-4.39444915467244,-6.37559773227898,7.942963477861687
face,285.0,17.004041156721613,12.609592002049173,-4.39444915467244,-6.360534721738524,7.960199479870894
