geometry,temperature_K,exposure_s,state_index,p_previous_hold_end,p_hold_start,p_hold_mean,p_hold_end,p_eq
face,290.0,20.0,59,3.20803263123569e-07,2.0932627599547986e-07,2.0818508363456637e-07,2.0815700757502886e-07,2.0815700757501586e-07
face,290.0,20.0,60,0.11518829091377304,0.11616432643326066,0.11617630072594777,0.11617646675896909,0.11617646675896616
face,290.0,20.0,61,0.004705610163759738,0.0042560824726144844,0.004250541744081401,0.004250464391319517,0.004250464391319417
face,290.0,20.0,62,0.004705610163759725,0.00425608247261448,0.004250541744081395,0.004250464391319512,0.004250464391319417
face,290.0,20.0,63,0.00019223105784123886,0.0001559364715292371,0.00015551792369378412,0.0001555086675114473,0.00015550866751144356
face,280.0,20.0,0,0.00015550866751144025,0.00012416997488050844,0.00012380482129382468,0.00012378829997831126,0.0001237882999783082
face,280.0,20.0,1,0.004250464391319314,0.003813273672892714,0.0038079267764365102,0.003807776457560904,0.003807776457560825
face,280.0,20.0,2,0.0042504643913193075,0.0038132736728927114,0.003807926776436501,0.0038077764575608934,0.003807776457560825
face,280.0,20.0,3,0.11617646675896283,0.11711691118651137,0.11712837064498795,0.117128691106473,0.11712869110647137
face,280.0,20.0,4,2.0815700757487253e-07,1.3166706364774552e-07,1.3086672886479493e-07,1.308265555326153e-07,1.3082655553275457e-07
face,280.0,20.0,5,5.689483182254406e-06,4.042471937313247e-06,4.024688843356458e-06,4.024275947473669e-06,4.024275947473957e-06
face,280.0,20.0,6,5.689483182254852e-06,4.042471937313182e-06,4.024688843356747e-06,4.024275947473964e-06,4.024275947473957e-06
face,280.0,20.0,7,0.00015550866751144892,0.00012415488188385776,0.00012379073643020434,0.00012378829997831148,0.0001237882999783082
face,280.0,20.0,8,0.004250464391319336,0.0038132736728927158,0.003807926776436525,0.003807776457560929,0.003807776457560825
face,280.0,20.0,9,0.00015550866751143935,0.00012416997488050785,0.00012380482129382397,0.00012378829997831056,0.0001237882999783082
face,280.0,20.0,10,0.11617646675896388,0.11711691118651138,0.11712837064498881,0.11712869110647431,0.11712869110647137
face,280.0,20.0,11,0.004250464391319311,0.003813273672892709,0.003807926776436497,0.0038077764575608886,0.003807776457560825
face,280.0,20.0,12,5.689483182254899e-06,4.042471937313343e-06,4.0246888433568085e-06,4.0242759474740274e-06,4.024275947473957e-06
face,280.0,20.0,13,2.0815700757500207e-07,1.3166706364773695e-07,1.3086672886493152e-07,1.3082655553275494e-07,1.3082655553275457e-07
face,280.0,20.0,14,0.00015550866751144242,0.00012415488188385405,0.00012379073643019998,0.00012378829997830741,0.0001237882999783082
face,280.0,20.0,15,5.6894831822548e-06,4.042471937313304e-06,4.02468884335676e-06,4.024275947473974e-06,4.024275947473957e-06
face,280.0,20.0,16,0.004250464391319334,0.0038132736728927114,0.003807926776436521,0.0038077764575609255,0.003807776457560825
face,280.0,20.0,17,0.11617646675896373,0.11711691118651137,0.11712837064498886,0.1171286911064744,0.11712869110647137
face,280.0,20.0,18,0.00015550866751143922,0.0001241699748805077,0.0001238048212938236,0.00012378829997831018,0.0001237882999783082
face,280.0,20.0,19,0.004250464391319312,0.0038132736728927106,0.0038079267764364972,0.00380777645756089,0.003807776457560825
face,280.0,20.0,20,5.689483182254899e-06,4.042471937313342e-06,4.024688843356811e-06,4.024275947474029e-06,4.024275947473957e-06
face,280.0,20.0,21,0.00015550866751144255,0.00012415488188385383,0.00012379073643019992,0.00012378829997830725,0.0001237882999783082
face,280.0,20.0,22,2.0815700757500234e-07,1.3166706364773883e-07,1.3086672886492982e-07,1.308265555327531e-07,1.3082655553275457e-07
face,280.0,20.0,23,5.689483182254794e-06,4.042471937313305e-06,4.024688843356753e-06,4.024275947473965e-06,4.024275947473957e-06
face,280.0,20.0,24,0.11617646675896405,0.11711691118651127,0.11712837064498895,0.11712869110647467,0.11712869110647137
face,280.0,20.0,25,0.004250464391319333,0.0038132736728927097,0.003807926776436511,0.003807776457560916,0.003807776457560825
face,280.0,20.0,26,0.0042504643913193335,0.003813273672892707,0.0038079267764365085,0.003807776457560913,0.003807776457560825
face,280.0,20.0,27,0.00015550866751143854,0.00012416997488051072,0.00012380482129382874,0.00012378829997831536,0.0001237882999783082
face,280.0,20.0,28,0.00015550866751144315,0.00012415488188385407,0.00012379073643020014,0.00012378829997830763,0.0001237882999783082
face,280.0,20.0,29,5.689483182254807e-06,4.042471937313304e-06,4.0246888433567636e-06,4.0242759474739825e-06,4.024275947473957e-06
face,280.0,20.0,30,5.689483182254804e-06,4.042471937313305e-06,4.0246888433567526e-06,4.024275947473971e-06,4.024275947473957e-06
face,280.0,20.0,31,2.0815700757502926e-07,1.3166706364772345e-07,1.3086672886491995e-07,1.3082655553274347e-07,1.3082655553275457e-07
face,280.0,20.0,32,2.0815700757502131e-07,1.3166706364772797e-07,1.30866728864926e-07,1.3082655553274956e-07,1.3082655553275457e-07
face,280.0,20.0,33,5.689483182254886e-06,4.042471937313317e-06,4.0246888433568305e-06,4.024275947474045e-06,4.024275947473957e-06
face,280.0,20.0,34,5.689483182254886e-06,4.042471937313307e-06,4.024688843356846e-06,4.024275947474061e-06,4.024275947473957e-06
face,280.0,20.0,35,0.00015550866751144242,0.0001241548818838542,0.00012379073643019976,0.00012378829997830693,0.0001237882999783082
face,280.0,20.0,36,0.0001555086675114466,0.00012416997488050947,0.00012380482129382197,0.00012378829997830506,0.0001237882999783082
face,280.0,20.0,37,0.004250464391319514,0.0038132736728927487,0.003807926776436434,0.0038077764575607242,0.003807776457560825
face,280.0,20.0,38,0.004250464391319507,0.0038132736728927487,0.0038079267764364404,0.0038077764575607347,0.003807776457560825
face,280.0,20.0,39,0.11617646675896895,0.11711691118651238,0.11712837064498632,0.11712869110646854,0.11712869110647137
face,280.0,20.0,40,5.689483182254916e-06,4.042471937313343e-06,4.024688843356808e-06,4.0242759474740274e-06,4.024275947473957e-06
face,280.0,20.0,41,2.081570075749997e-07,1.316670636477376e-07,1.3086672886493093e-07,1.3082655553275433e-07,1.3082655553275457e-07
face,280.0,20.0,42,0.00015550866751144272,0.000124154881883854,0.00012379073643020006,0.0001237882999783075,0.0001237882999783082
face,280.0,20.0,43,5.689483182254782e-06,4.0424719373133005e-06,4.02468884335675e-06,4.024275947473964e-06,4.024275947473957e-06
face,280.0,20.0,44,0.0042504643913195105,0.003813273672892751,0.0038079267764364396,0.003807776457560733,0.003807776457560825
face,280.0,20.0,45,0.00015550866751144667,0.00012416997488050972,0.00012380482129382232,0.00012378829997830544,0.0001237882999783082
face,280.0,20.0,46,0.11617646675896837,0.11711691118651245,0.11712837064498643,0.11712869110646872,0.11712869110647137
face,280.0,20.0,47,0.00425046439131951,0.003813273672892748,0.0038079267764364404,0.003807776457560735,0.003807776457560825
