geometry,exposure_s,time_s,temperature_K,stage,Udd_J,Udd_kBT
face,150.0,975.0,268.75,ramp,-2.574216608715884e-20,-6.937665115843505
face,150.0,978.0,268.5,ramp,-2.574463684653056e-20,-6.944791270971165
face,150.0,981.0,268.25,ramp,-2.5747103529922974e-20,-6.951929608225888
face,150.0,984.0,268.0,ramp,-2.5749566110557138e-20,-6.959080154462167
face,150.0,987.0,267.75,ramp,-2.575202457240054e-20,-6.966242939541835
face,150.0,990.0,267.5,ramp,-2.5754478900807554e-20,-6.9734179938138805
face,150.0,993.0,267.25,ramp,-2.5756929081267237e-20,-6.980605347777354
face,150.0,996.0,267.0,ramp,-2.575937509922289e-20,-6.98780503203312
face,150.0,999.0,266.75,ramp,-2.5761816940040975e-20,-6.995017077275897
face,150.0,1002.0,266.5,ramp,-2.5764254589001565e-20,-7.002241514292103
face,150.0,1005.0,266.25,ramp,-2.5766688031291786e-20,-7.009478373958501
face,150.0,1008.0,266.0,ramp,-2.5769117251999703e-20,-7.016727687240958
face,150.0,1011.0,265.75,ramp,-2.5771542236108047e-20,-7.023989485193154
face,150.0,1014.0,265.5,ramp,-2.577396296848777e-20,-7.031263798955241
face,150.0,1017.0,265.25,ramp,-2.5776379433891438e-20,-7.03855065975244
face,150.0,1020.0,265.0,ramp,-2.5778791616946558e-20,-7.045850098893622
face,150.0,1023.0,264.75,ramp,-2.5781199502148676e-20,-7.053162147769818
face,150.0,1026.0,264.5,ramp,-2.5783603073854424e-20,-7.0604868378526975
face,150.0,1029.0,264.25,ramp,-2.5786002316274437e-20,-7.067824200693011
face,150.0,1032.0,264.0,ramp,-2.5788397213466192e-20,-7.075174267919002
face,150.0,1035.0,263.75,ramp,-2.5790787749326785e-20,-7.0825370712347855
face,150.0,1038.0,263.5,ramp,-2.5793173907585592e-20,-7.089912642418694
face,150.0,1041.0,263.25,ramp,-2.5795555671796912e-20,-7.097301013321609
face,150.0,1044.0,263.0,ramp,-2.579793302533257e-20,-7.10470221586526
face,150.0,1047.0,262.75,ramp,-2.5800305951374434e-20,-7.112116282040507
face,150.0,1050.0,262.5,ramp,-2.5802674432906923e-20,-7.119543243905596
face,150.0,1053.0,262.25,ramp,-2.5805038452709543e-20,-7.126983133584427
face,150.0,1056.0,262.0,ramp,-2.5807397993349242e-20,-7.134435983264746
face,150.0,1059.0,261.75,ramp,-2.580975303717296e-20,-7.14190182519639
face,150.0,1062.0,261.5,ramp,-2.5812103566300006e-20,-7.149380691689476
face,150.0,1065.0,261.25,ramp,-2.5814449562614438e-20,-7.156872615112573
face,150.0,1068.0,261.0,ramp,-2.5816791007757578e-20,-7.164377627890907
face,150.0,1071.0,260.75,ramp,-2.581912788312029e-20,-7.1718957625044855
face,150.0,1074.0,260.5,ramp,-2.5821460169835453e-20,-7.17942705148627
face,150.0,1077.0,260.25,ramp,-2.582378784877032e-20,-7.186971527420303
face,150.0,1080.0,260.0,ramp,-2.582611090051889e-20,-7.194529222939827
face,150.0,1080.0001,260.0,hold,-2.5826110991800617e-20,-7.194529248368706
face,150.0,1080.0001808577551,260.0,hold,-2.5826111065605514e-20,-7.194529268928964
face,150.0,1080.0003270952757,260.0,hold,-2.582611119907954e-20,-7.194529306111596
face,150.0,1080.0005915771726,260.0,hold,-2.5826111440451947e-20,-7.194529373352104
face,150.0,1080.001069913194,260.0,hold,-2.5826111876908628e-20,-7.194529494938369
face,150.0,1080.0019350209839,260.0,hold,-2.5826112665999523e-20,-7.194529714759987
face,150.0,1080.0034996355116,260.0,hold,-2.582611409223332e-20,-7.194530112074193
face,150.0,1080.006329362222,260.0,hold,-2.5826116668753534e-20,-7.194530829830344
face,150.0,1080.0114471424256,260.0,hold,-2.5826121319016456e-20,-7.1945321252810075
face,150.0,1080.0207030448112,260.0,hold,-2.582612969820332e-20,-7.194534459519599
face,150.0,1080.037443062078,260.0,hold,-2.582614475146805e-20,-7.194538652994701
face,150.0,1080.067718681506,260.0,hold,-2.5826171650417676e-20,-7.194546146390818
face,150.0,1080.1224744871392,260.0,hold,-2.5826219260202598e-20,-7.194559409324221
face,150.0,1080.2215046079812,260.0,hold,-2.5826302120580078e-20,-7.1945824922192605
face,150.0,1080.400608261385,260.0,hold,-2.582644218097309e-20,-7.1946215096537625
face,150.0,1080.7245311081915,260.0,hold,-2.5826667492748567e-20,-7.194684276059404
face,150.0,1081.3103706971044,260.0,hold,-2.5827001371677042e-20,-7.194777286645361
face,150.0,1082.3699070259609,260.0,hold,-2.5827433042983262e-20,-7.194897539820113
face,150.0,1084.286160644548,260.0,hold,-2.5827874444613174e-20,-7.195020503627466
face,150.0,1087.7518539206937,260.0,hold,-2.5828174079657385e-20,-7.195103974696344
face,150.0,1094.0198289777609,260.0,hold,-2.5828276612067858e-20,-7.195132537743497
face,150.0,1105.3559479547152,260.0,hold,-2.582828850194342e-20,-7.195135849974964
face,150.0,1125.8581982492133,260.0,hold,-2.5828288755789756e-20,-7.195135920690407
face,150.0,1162.9381078719666,260.0,hold,-2.5828288756099686e-20,-7.195135920776746
face,150.0,1230.0,260.0,hold,-2.5828288756099683e-20,-7.195135920776745
face,150.0,1233.0,259.75,ramp,-2.582911038427877e-20,-7.202290085423355
face,150.0,1236.0,259.5,ramp,-2.5830971807295464e-20,-7.209748254369921
face,150.0,1239.0,259.25,ramp,-2.5833132464240614e-20,-7.217304407924723
face,150.0,1242.0,259.0,ramp,-2.5835385876389917e-20,-7.224901087768585
